REF_DATE,GEO,DGUID,Admissions and releases,Correctional services,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2012/2013,Provinces and territories,2016A000011124,Youth admissions,Total correctional services,Number,223,units,0,v32445599,1.1.1,24425,,,,0
2012/2013,Provinces and territories,2016A000011124,Youth admissions,Pre-trial detention,Number,223,units,0,v32445600,1.1.2,8225,,,,0
2012/2013,Provinces and territories,2016A000011124,Youth admissions,Provincial director remand,Number,223,units,0,v32445601,1.1.3,417,,,,0
2012/2013,Provinces and territories,2016A000011124,Youth admissions,Secure custody,Number,223,units,0,v32445602,1.1.4,822,,,,0
2012/2013,Provinces and territories,2016A000011124,Youth admissions,Custody and supervision (secure),Number,223,units,0,v32445603,1.1.5,,..,,t,0
2012/2013,Provinces and territories,2016A000011124,Youth admissions,Young Offenders Act (YOA) (secure),Number,223,units,0,v32445604,1.1.6,,..,,t,0
2012/2013,Provinces and territories,2016A000011124,Youth admissions,Open custody,Number,223,units,0,v32445605,1.1.7,983,,,,0
2012/2013,Provinces and territories,2016A000011124,Youth admissions,Custody and supervision (open),Number,223,units,0,v32445606,1.1.8,,..,,t,0
2012/2013,Provinces and territories,2016A000011124,Youth admissions,Young Offenders Act (YOA) (open),Number,223,units,0,v32445607,1.1.9,,..,,t,0
2012/2013,Provinces and territories,2016A000011124,Youth admissions,Total community sentences,Number,223,units,0,v32445608,1.1.10,13978,,,,0
2012/2013,Provinces and territories,2016A000011124,Youth admissions,Community Portion of Custody Supervision,Number,223,units,0,v32445609,1.1.11,1726,,,,0
2012/2013,Provinces and territories,2016A000011124,Youth admissions,Intensive support and supervision,Number,223,units,0,v32445610,1.1.12,256,,,,0
2012/2013,Provinces and territories,2016A000011124,Youth admissions,Deferred custody and supervision,Number,223,units,0,v32445611,1.1.13,784,,,,0
2012/2013,Provinces and territories,2016A000011124,Youth admissions,Supervised probation,Number,223,units,0,v32445612,1.1.14,6982,,,,0
2012/2013,Provinces and territories,2016A000011124,Youth admissions,Other community sentences,Number,223,units,0,v32445613,1.1.15,4230,,,,0
2012/2013,Provinces and territories,2016A000011124,Youth releases,Total correctional services,Number,223,units,0,v32445614,1.2.1,25655,,,,0
2012/2013,Provinces and territories,2016A000011124,Youth releases,Pre-trial detention,Number,223,units,0,v32445615,1.2.2,8280,,,,0
2012/2013,Provinces and territories,2016A000011124,Youth releases,Provincial director remand,Number,223,units,0,v32445616,1.2.3,418,,,,0
2012/2013,Provinces and territories,2016A000011124,Youth releases,Secure custody,Number,223,units,0,v32445617,1.2.4,850,,,,0
2012/2013,Provinces and territories,2016A000011124,Youth releases,Custody and supervision (secure),Number,223,units,0,v32445618,1.2.5,,..,,t,0
2012/2013,Provinces and territories,2016A000011124,Youth releases,Young Offenders Act (YOA) (secure),Number,223,units,0,v32445619,1.2.6,,..,,t,0
2012/2013,Provinces and territories,2016A000011124,Youth releases,Open custody,Number,223,units,0,v32445620,1.2.7,995,,,,0
2012/2013,Provinces and territories,2016A000011124,Youth releases,Custody and supervision (open),Number,223,units,0,v32445621,1.2.8,,..,,t,0
2012/2013,Provinces and territories,2016A000011124,Youth releases,Young Offenders Act (YOA) (open),Number,223,units,0,v32445622,1.2.9,,..,,t,0
2012/2013,Provinces and territories,2016A000011124,Youth releases,Total community sentences,Number,223,units,0,v32445623,1.2.10,15112,,,,0
2012/2013,Provinces and territories,2016A000011124,Youth releases,Community Portion of Custody Supervision,Number,223,units,0,v32445624,1.2.11,1696,,,,0
2012/2013,Provinces and territories,2016A000011124,Youth releases,Intensive support and supervision,Number,223,units,0,v32445625,1.2.12,290,,,,0
2012/2013,Provinces and territories,2016A000011124,Youth releases,Deferred custody and supervision,Number,223,units,0,v32445626,1.2.13,836,,,,0
2012/2013,Provinces and territories,2016A000011124,Youth releases,Supervised probation,Number,223,units,0,v32445627,1.2.14,7833,,,,0
2012/2013,Provinces and territories,2016A000011124,Youth releases,Other community sentences,Number,223,units,0,v32445628,1.2.15,4457,,,,0
2012/2013,Newfoundland and Labrador,2016A000210,Youth admissions,Total correctional services,Number,223,units,0,v32445629,2.1.1,369,,,,0
2012/2013,Newfoundland and Labrador,2016A000210,Youth admissions,Pre-trial detention,Number,223,units,0,v32445630,2.1.2,63,,,,0
