REF_DATE,GEO,DGUID,Initial entry status,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2012/2013,Provinces and territories,2016A000011124,Total correctional services,Number,223,units,0,v32445374,1.1,13016,,,,0
2012/2013,Provinces and territories,2016A000011124,Pre-trial detention,Number,223,units,0,v32445375,1.2,4802,,,,0
2012/2013,Provinces and territories,2016A000011124,Secure custody,Number,223,units,0,v32445376,1.3,173,,,,0
2012/2013,Provinces and territories,2016A000011124,Custody and supervision (secure),Number,223,units,0,v32445377,1.4,,..,,t,0
2012/2013,Provinces and territories,2016A000011124,Young Offenders Act (YOA) (secure),Number,223,units,0,v32445378,1.5,,..,,t,0
2012/2013,Provinces and territories,2016A000011124,Open custody,Number,223,units,0,v32445379,1.6,204,,,,0
2012/2013,Provinces and territories,2016A000011124,Custody and supervision (open),Number,223,units,0,v32445380,1.7,,..,,t,0
2012/2013,Provinces and territories,2016A000011124,Young Offenders Act (YOA) (open),Number,223,units,0,v32445381,1.8,,..,,t,0
2012/2013,Provinces and territories,2016A000011124,Total community sentences,Number,223,units,0,v32445382,1.9,7837,,,,0
2012/2013,Provinces and territories,2016A000011124,Intensive support and supervision,Number,223,units,0,v32445383,1.1,13,,,,0
2012/2013,Provinces and territories,2016A000011124,Deferred custody and supervision,Number,223,units,0,v32445384,1.11,176,,,,0
2012/2013,Provinces and territories,2016A000011124,Supervised probation,Number,223,units,0,v32445385,1.12,5219,,,,0
2012/2013,Provinces and territories,2016A000011124,Other community sentences,Number,223,units,0,v32445386,1.13,2429,,,,0
2012/2013,Newfoundland and Labrador,2016A000210,Total correctional services,Number,223,units,0,v32445387,2.1,162,,,,0
2012/2013,Newfoundland and Labrador,2016A000210,Pre-trial detention,Number,223,units,0,v32860958,2.2,7,,,,0
2012/2013,Newfoundland and Labrador,2016A000210,Secure custody,Number,223,units,0,v32445388,2.3,1,,,,0
2012/2013,Newfoundland and Labrador,2016A000210,Custody and supervision (secure),Number,223,units,0,v32445389,2.4,,..,,t,0
2012/2013,Newfoundland and Labrador,2016A000210,Young Offenders Act (YOA) (secure),Number,223,units,0,v32445390,2.5,,..,,t,0
2012/2013,Newfoundland and Labrador,2016A000210,Open custody,Number,223,units,0,v32445391,2.6,6,,,,0
2012/2013,Newfoundland and Labrador,2016A000210,Custody and supervision (open),Number,223,units,0,v32445392,2.7,,..,,t,0
2012/2013,Newfoundland and Labrador,2016A000210,Young Offenders Act (YOA) (open),Number,223,units,0,v32445393,2.8,,..,,t,0
2012/2013,Newfoundland and Labrador,2016A000210,Total community sentences,Number,223,units,0,v32445394,2.9,148,,,,0
2012/2013,Newfoundland and Labrador,2016A000210,Intensive support and supervision,Number,223,units,0,v41443607,2.1,0,,,,0
2012/2013,Newfoundland and Labrador,2016A000210,Deferred custody and supervision,Number,223,units,0,v32445395,2.11,0,,,,0
2012/2013,Newfoundland and Labrador,2016A000210,Supervised probation,Number,223,units,0,v32445396,2.12,143,,,,0
2012/2013,Newfoundland and Labrador,2016A000210,Other community sentences,Number,223,units,0,v32445397,2.13,5,,,,0
2012/2013,Prince Edward Island,2016A000211,Total correctional services,Number,223,units,0,v32445398,3.1,42,,,,0
2012/2013,Prince Edward Island,2016A000211,Pre-trial detention,Number,223,units,0,v32860959,3.2,19,,,,0
2012/2013,Prince Edward Island,2016A000211,Secure custody,Number,223,units,0,v32445399,3.3,5,,,,0
2012/2013,Prince Edward Island,2016A000211,Custody and supervision (secure),Number,223,units,0,v62731156,3.4,,..,,t,0
2012/2013,Prince Edward Island,2016A000211,Young Offenders Act (YOA) (secure),Number,223,units,0,v79960430,3.5,,..,,t,0
2012/2013,Prince Edward Island,2016A000211,Open custody,Number,223,units,0,v32445400,3.6,18,,,,0
2012/2013,Prince Edward Island,2016A000211,Custody and supervision (open),Number,223,units,0,v62731157,3.7,,..,,t,0
2012/2013,Prince Edward Island,2016A000211,Young Offenders Act (YOA) (open),Number,223,units,0,v79960431,3.8,,..,,t,0
2012/2013,Prince Edward Island,2016A000211,Total community sentences,Number,223,units,0,v32445401,3.9,,..,,,0
2012/2013,Prince Edward Island,2016A000211,Intensive support and supervision,Number,223,units,0,v79960432,3.1,,..,,,0
2012/2013,Prince Edward Island,2016A000211,Deferred custody and supervision,Number,223,units,0,v79960433,3.11,,..,,,0
2012/2013,Prince Edward Island,2016A000211,Supervised probation,Number,223,units,0,v32445402,3.12,,..,,,0
2012/2013,Prince Edward Island,2016A000211,Other community sentences,Number,223,units,0,v32445403,3.13,,..,,,0
2012/2013,Nova Scotia,2016A000212,Total correctional services,Number,223,units,0,v32445404,4.1,,..,,,0
2012/2013,Nova Scotia,2016A000212,Pre-trial detention,Number,223,units,0,v32445405,4.2,,..,,,0
2012/2013,Nova Scotia,2016A000212,Secure custody,Number,223,units,0,v32445406,4.3,,..,,,0
2012/2013,Nova Scotia,2016A000212,Custody and supervision (secure),Number,223,units,0,v32445407,4.4,,..,,t,0
2012/2013,Nova Scotia,2016A000212,Young Offenders Act (YOA) (secure),Number,223,units,0,v32445408,4.5,,..,,t,0
2012/2013,Nova Scotia,2016A000212,Open custody,Number,223,units,0,v32445409,4.6,,..,,,0
