"REF_DATE","GEO","DGUID","Custodial and community supervision","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1997/1998","Provinces and Territories","2016A000011124","Total actual-in count","Persons","249","units","0","v65927052","15.1","4937.1","","","","1"
"1997/1998","Provinces and Territories","2016A000011124","Total sentenced custody, actual-in count","Persons","249","units","0","v65927053","15.2","3825.4","","","","1"
"1997/1998","Provinces and Territories","2016A000011124","Sentenced secure custody, actual-in count","Persons","249","units","0","v65927054","15.3","1775.4","","","","1"
"1997/1998","Provinces and Territories","2016A000011124","Sentenced open custody, actual-in count","Persons","249","units","0","v65927055","15.4","2050.0","","","","1"
"1997/1998","Provinces and Territories","2016A000011124","Pre-trial detention and other temporary detention, actual-in count","Persons","249","units","0","v65927056","15.5","1111.7","","","","1"
"1997/1998","Provinces and Territories","2016A000011124","Incarceration rates per 10,000 young persons","Rate","257","units","0","v65927057","15.6","20.22","","","","2"
"1997/1998","Provinces and Territories","2016A000011124","Total community supervision count","Persons","249","units","0","v65927058","15.7","40397.0","","","","1"
"1997/1998","Provinces and Territories","2016A000011124","Probation, community supervision","Persons","249","units","0","v65927059","15.8","40397.0","","","","1"
"1997/1998","Provinces and Territories","2016A000011124","Community portion of custody sentence, community supervision","Persons","249","units","0","v65927060","15.9","","..","","","1"
"1997/1998","Provinces and Territories","2016A000011124","Deferred custody, community supervision","Persons","249","units","0","v65927061","15.10","","..","","","1"
"1997/1998","Provinces and Territories","2016A000011124","Intensive support and supervision, community supervision","Persons","249","units","0","v65927062","15.11","","..","","","1"
"1997/1998","Provinces and Territories","2016A000011124","Probation rate per 10,000 young persons","Rate","257","units","0","v65927063","15.12","165.90","","","","2"
"1997/1998","Newfoundland and Labrador","2016A000210","Total actual-in count","Persons","249","units","0","v32164121","1.1","124.1","","","","1"
"1997/1998","Newfoundland and Labrador","2016A000210","Total sentenced custody, actual-in count","Persons","249","units","0","v32164122","1.2","109.0","","","","1"
"1997/1998","Newfoundland and Labrador","2016A000210","Sentenced secure custody, actual-in count","Persons","249","units","0","v32164123","1.3","53.3","","","","1"
"1997/1998","Newfoundland and Labrador","2016A000210","Sentenced open custody, actual-in count","Persons","249","units","0","v32164124","1.4","55.7","","","","1"
"1997/1998","Newfoundland and Labrador","2016A000210","Pre-trial detention and other temporary detention, actual-in count","Persons","249","units","0","v32164125","1.5","15.1","","","","1"
"1997/1998","Newfoundland and Labrador","2016A000210","Incarceration rates per 10,000 young persons","Rate","257","units","0","v32164126","1.6","23.99","","","","2"
"1997/1998","Newfoundland and Labrador","2016A000210","Total community supervision count","Persons","249","units","0","v32164127","1.7","1168.6","","","","1"
"1997/1998","Newfoundland and Labrador","2016A000210","Probation, community supervision","Persons","249","units","0","v32164128","1.8","1168.6","","","","1"
"1997/1998","Newfoundland and Labrador","2016A000210","Community portion of custody sentence, community supervision","Persons","249","units","0","v32164129","1.9","","..","","","1"
"1997/1998","Newfoundland and Labrador","2016A000210","Deferred custody, community supervision","Persons","249","units","0","v32164130","1.10","","..","","","1"
"1997/1998","Newfoundland and Labrador","2016A000210","Intensive support and supervision, community supervision","Persons","249","units","0","v32164131","1.11","","..","","","1"
"1997/1998","Newfoundland and Labrador","2016A000210","Probation rate per 10,000 young persons","Rate","257","units","0","v32164132","1.12","225.97","","","","2"
"1997/1998","Prince Edward Island","2016A000211","Total actual-in count","Persons","249","units","0","v32164133","2.1","27.9","","","","1"
"1997/1998","Prince Edward Island","2016A000211","Total sentenced custody, actual-in count","Persons","249","units","0","v32164134","2.2","25.8","","","","1"
"1997/1998","Prince Edward Island","2016A000211","Sentenced secure custody, actual-in count","Persons","249","units","0","v32164135","2.3","13.0","","","","1"
"1997/1998","Prince Edward Island","2016A000211","Sentenced open custody, actual-in count","Persons","249","units","0","v32164136","2.4","12.9","","","","1"
"1997/1998","Prince Edward Island","2016A000211","Pre-trial detention and other temporary detention, actual-in count","Persons","249","units","0","v32164137","2.5","2.1","","","","1"
"1997/1998","Prince Edward Island","2016A000211","Incarceration rates per 10,000 young persons","Rate","257","units","0","v32164138","2.6","23.04","","","","2"
"1997/1998","Prince Edward Island","2016A000211","Total community supervision count","Persons","249","units","0","v32164139","2.7","301.8","","","","1"
"1997/1998","Prince Edward Island","2016A000211","Probation, community supervision","Persons","249","units","0","v32164140","2.8","301.8","","","","1"
"1997/1998","Prince Edward Island","2016A000211","Community portion of custody sentence, community supervision","Persons","249","units","0","v32164141","2.9","","..","","","1"
"1997/1998","Prince Edward Island","2016A000211","Deferred custody, community supervision","Persons","249","units","0","v32164142","2.10","","..","","","1"
"1997/1998","Prince Edward Island","2016A000211","Intensive support and supervision, community supervision","Persons","249","units","0","v32164143","2.11","","..","","","1"
"1997/1998","Prince Edward Island","2016A000211","Probation rate per 10,000 young persons","Rate","257","units","0","v32164144","2.12","248.91","","","","2"
"1997/1998","Nova Scotia","2016A000212","Total actual-in count","Persons","249","units","0","v32164145","3.1","147.0","","","","1"
"1997/1998","Nova Scotia","2016A000212","Total sentenced custody, actual-in count","Persons","249","units","0","v32164146","3.2","122.7","","","","1"
"1997/1998","Nova Scotia","2016A000212","Sentenced secure custody, actual-in count","Persons","249","units","0","v32164147","3.3","27.1","","","","1"
"1997/1998","Nova Scotia","2016A000212","Sentenced open custody, actual-in count","Persons","249","units","0","v32164148","3.4","95.7","","","","1"
"1997/1998","Nova Scotia","2016A000212","Pre-trial detention and other temporary detention, actual-in count","Persons","249","units","0","v32164149","3.5","24.3","","","","1"
"1997/1998","Nova Scotia","2016A000212","Incarceration rates per 10,000 young persons","Rate","257","units","0","v32164150","3.6","19.48","","","","2"
"1997/1998","Nova Scotia","2016A000212","Total community supervision count","Persons","249","units","0","v32164151","3.7","1423.3","","","","1"
"1997/1998","Nova Scotia","2016A000212","Probation, community supervision","Persons","249","units","0","v32164152","3.8","1423.3","","","","1"
"1997/1998","Nova Scotia","2016A000212","Community portion of custody sentence, community supervision","Persons","249","units","0","v44182189","3.9","","..","","","1"
"1997/1998","Nova Scotia","2016A000212","Deferred custody, community supervision","Persons","249","units","0","v44182190","3.10","","..","","","1"
"1997/1998","Nova Scotia","2016A000212","Intensive support and supervision, community supervision","Persons","249","units","0","v44182191","3.11","","..","","","1"
"1997/1998","Nova Scotia","2016A000212","Probation rate per 10,000 young persons","Rate","257","units","0","v32164153","3.12","188.60","","","","2"
"1997/1998","New Brunswick","2016A000213","Total actual-in count","Persons","249","units","0","v32164154","4.1","160.6","","","","1"
"1997/1998","New Brunswick","2016A000213","Total sentenced custody, actual-in count","Persons","249","units","0","v32164155","4.2","144.8","","","","1"
"1997/1998","New Brunswick","2016A000213","Sentenced secure custody, actual-in count","Persons","249","units","0","v32164156","4.3","65.3","","","","1"
"1997/1998","New Brunswick","2016A000213","Sentenced open custody, actual-in count","Persons","249","units","0","v32164157","4.4","79.4","","","","1"
"1997/1998","New Brunswick","2016A000213","Pre-trial detention and other temporary detention, actual-in count","Persons","249","units","0","v32164158","4.5","15.8","","","","1"
"1997/1998","New Brunswick","2016A000213","Incarceration rates per 10,000 young persons","Rate","257","units","0","v32164159","4.6","25.56","","","","2"
"1997/1998","New Brunswick","2016A000213","Total community supervision count","Persons","249","units","0","v32164160","4.7","1175.1","","","","1"
"1997/1998","New Brunswick","2016A000213","Probation, community supervision","Persons","249","units","0","v32164161","4.8","1175.1","","","","1"
"1997/1998","New Brunswick","2016A000213","Community portion of custody sentence, community supervision","Persons","249","units","0","v32164162","4.9","","..","","","1"
"1997/1998","New Brunswick","2016A000213","Deferred custody, community supervision","Persons","249","units","0","v32164163","4.10","","..","","","1"
"1997/1998","New Brunswick","2016A000213","Intensive support and supervision, community supervision","Persons","249","units","0","v44182192","4.11","","..","","","1"
"1997/1998","New Brunswick","2016A000213","Probation rate per 10,000 young persons","Rate","257","units","0","v32164164","4.12","187.05","","","","2"
"1997/1998","Quebec","2016A000224","Total actual-in count","Persons","249","units","0","v32164165","5.1","553.1","","","","1"
"1997/1998","Quebec","2016A000224","Total sentenced custody, actual-in count","Persons","249","units","0","v32164166","5.2","446.1","","","","1"
"1997/1998","Quebec","2016A000224","Sentenced secure custody, actual-in count","Persons","249","units","0","v32164167","5.3","232.5","","","","1"
"1997/1998","Quebec","2016A000224","Sentenced open custody, actual-in count","Persons","249","units","0","v32164168","5.4","213.6","","","","1"
"1997/1998","Quebec","2016A000224","Pre-trial detention and other temporary detention, actual-in count","Persons","249","units","0","v32164169","5.5","107.0","","","","1"
"1997/1998","Quebec","2016A000224","Incarceration rates per 10,000 young persons","Rate","257","units","0","v32164170","5.6","9.63","","","","2"
"1997/1998","Quebec","2016A000224","Total community supervision count","Persons","249","units","0","v32164171","5.7","4883.0","","","","1"
"1997/1998","Quebec","2016A000224","Probation, community supervision","Persons","249","units","0","v32164172","5.8","4883.0","","","","1"
"1997/1998","Quebec","2016A000224","Community portion of custody sentence, community supervision","Persons","249","units","0","v32164173","5.9","","..","","","1"
"1997/1998","Quebec","2016A000224","Deferred custody, community supervision","Persons","249","units","0","v32164174","5.10","","..","","","1"
"1997/1998","Quebec","2016A000224","Intensive support and supervision, community supervision","Persons","249","units","0","v32164175","5.11","","..","","","1"
"1997/1998","Quebec","2016A000224","Probation rate per 10,000 young persons","Rate","257","units","0","v32164176","5.12","85.00","","","","2"
"1997/1998","Ontario","2016A000235","Total actual-in count","Persons","249","units","0","v32164177","6.1","2020.5","","","","1"
"1997/1998","Ontario","2016A000235","Total sentenced custody, actual-in count","Persons","249","units","0","v32164178","6.2","1752.8","","","","1"
"1997/1998","Ontario","2016A000235","Sentenced secure custody, actual-in count","Persons","249","units","0","v32164179","6.3","804.6","","","","1"
"1997/1998","Ontario","2016A000235","Sentenced open custody, actual-in count","Persons","249","units","0","v32164180","6.4","948.2","","","","1"
"1997/1998","Ontario","2016A000235","Pre-trial detention and other temporary detention, actual-in count","Persons","249","units","0","v32164181","6.5","267.7","","","","1"
"1997/1998","Ontario","2016A000235","Incarceration rates per 10,000 young persons","Rate","257","units","0","v32164182","6.6","","..","","","2"
"1997/1998","Ontario","2016A000235","Total community supervision count","Persons","249","units","0","v32164183","6.7","20035.8","","","","1"
"1997/1998","Ontario","2016A000235","Probation, community supervision","Persons","249","units","0","v32164184","6.8","20035.8","","","","1"
"1997/1998","Ontario","2016A000235","Community portion of custody sentence, community supervision","Persons","249","units","0","v32164185","6.9","","..","","","1"
"1997/1998","Ontario","2016A000235","Deferred custody, community supervision","Persons","249","units","0","v32164186","6.10","","..","","","1"
"1997/1998","Ontario","2016A000235","Intensive support and supervision, community supervision","Persons","249","units","0","v44182193","6.11","","..","","","1"
"1997/1998","Ontario","2016A000235","Probation rate per 10,000 young persons","Rate","257","units","0","v32164187","6.12","224.43","","","","2"
"1997/1998","Manitoba","2016A000246","Total actual-in count","Persons","249","units","0","v32164188","7.1","314.8","","","","1"
"1997/1998","Manitoba","2016A000246","Total sentenced custody, actual-in count","Persons","249","units","0","v32164189","7.2","213.1","","","","1"
"1997/1998","Manitoba","2016A000246","Sentenced secure custody, actual-in count","Persons","249","units","0","v32164190","7.3","96.2","","","","1"
"1997/1998","Manitoba","2016A000246","Sentenced open custody, actual-in count","Persons","249","units","0","v32164191","7.4","116.9","","","","1"
"1997/1998","Manitoba","2016A000246","Pre-trial detention and other temporary detention, actual-in count","Persons","249","units","0","v32164192","7.5","101.7","","","","1"
