"REF_DATE","GEO","DGUID","Sex","Length of time served","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1997/1998","Provinces and territories","2016A000011124","Total sex","Total number of releases","Number","223","units","0","v32707507","1.1.1","13743","","","","0"
"1997/1998","Provinces and territories","2016A000011124","Total sex","1 week or less","Number","223","units","0","v32707508","1.1.2","7512","","","","0"
"1997/1998","Provinces and territories","2016A000011124","Total sex","Greater than 1 week to 1 month","Number","223","units","0","v32707509","1.1.3","3988","","","","0"
"1997/1998","Provinces and territories","2016A000011124","Total sex","Greater than 1 month to 6 months","Number","223","units","0","v32707510","1.1.4","2134","","","","0"
"1997/1998","Provinces and territories","2016A000011124","Total sex","Greater than 6 months to 1 year","Number","223","units","0","v32707511","1.1.5","84","","","","0"
"1997/1998","Provinces and territories","2016A000011124","Total sex","Greater than 1 year to 2 years","Number","223","units","0","v32707512","1.1.6","15","","","","0"
"1997/1998","Provinces and territories","2016A000011124","Total sex","Greater than 2 years","Number","223","units","0","v32707513","1.1.7","7","","","","0"
"1997/1998","Provinces and territories","2016A000011124","Total sex","Length of time unknown","Number","223","units","0","v32707514","1.1.8","3","","","","0"
"1997/1998","Provinces and territories","2016A000011124","Total sex","Mean time served","Days","77","units","0","v41501616","1.1.9","","..","","","0"
"1997/1998","Provinces and territories","2016A000011124","Total sex","Median time served","Days","77","units","0","v41501617","1.1.10","","..","","","0"
"1997/1998","Provinces and territories","2016A000011124","Males","Total number of releases","Number","223","units","0","v32707517","1.2.1","10960","","","","0"
"1997/1998","Provinces and territories","2016A000011124","Males","1 week or less","Number","223","units","0","v32707518","1.2.2","5764","","","","0"
"1997/1998","Provinces and territories","2016A000011124","Males","Greater than 1 week to 1 month","Number","223","units","0","v32707519","1.2.3","3230","","","","0"
"1997/1998","Provinces and territories","2016A000011124","Males","Greater than 1 month to 6 months","Number","223","units","0","v32707520","1.2.4","1867","","","","0"
"1997/1998","Provinces and territories","2016A000011124","Males","Greater than 6 months to 1 year","Number","223","units","0","v32707521","1.2.5","77","","","","0"
"1997/1998","Provinces and territories","2016A000011124","Males","Greater than 1 year to 2 years","Number","223","units","0","v32707522","1.2.6","14","","","","0"
"1997/1998","Provinces and territories","2016A000011124","Males","Greater than 2 years","Number","223","units","0","v32707523","1.2.7","6","","","","0"
"1997/1998","Provinces and territories","2016A000011124","Males","Length of time unknown","Number","223","units","0","v32707524","1.2.8","2","","","","0"
"1997/1998","Provinces and territories","2016A000011124","Males","Mean time served","Days","77","units","0","v41501618","1.2.9","","..","","","0"
"1997/1998","Provinces and territories","2016A000011124","Males","Median time served","Days","77","units","0","v41501619","1.2.10","","..","","","0"
"1997/1998","Provinces and territories","2016A000011124","Females","Total number of releases","Number","223","units","0","v32707527","1.3.1","2783","","","","0"
"1997/1998","Provinces and territories","2016A000011124","Females","1 week or less","Number","223","units","0","v32707528","1.3.2","1748","","","","0"
