REF_DATE,GEO,Custodial and community admissions,VALUE
2000/2001,All Provinces and territories,Total custodial admissions,201357
2000/2001,All Provinces and territories,Sentenced,66069
2000/2001,All Provinces and territories,Remand,110387
2000/2001,All Provinces and territories,Other custodial statuses,24901
2000/2001,All Provinces and territories,Total community admissions,167204
2000/2001,All Provinces and territories,Probation and conditional sentences,99023
2000/2001,All Provinces and territories,Probation,81939
2000/2001,All Provinces and territories,Conditional sentence,17084
2000/2001,All Provinces and territories,Other community programs,68181
2000/2001,All Provinces and territories,Unknown community admissions,0
2000/2001,Newfoundland and Labrador,Total custodial admissions,1332
2000/2001,Newfoundland and Labrador,Sentenced,944
2000/2001,Newfoundland and Labrador,Remand,388
2000/2001,Newfoundland and Labrador,Other custodial statuses,
2000/2001,Newfoundland and Labrador,Total community admissions,2536
2000/2001,Newfoundland and Labrador,Probation and conditional sentences,2225
2000/2001,Newfoundland and Labrador,Probation,1906
2000/2001,Newfoundland and Labrador,Conditional sentence,319
2000/2001,Newfoundland and Labrador,Other community programs,311
2000/2001,Newfoundland and Labrador,Unknown community admissions,0
2000/2001,Prince Edward Island,Total custodial admissions,762
2000/2001,Prince Edward Island,Sentenced,586
2000/2001,Prince Edward Island,Remand,176
2000/2001,Prince Edward Island,Other custodial statuses,
2000/2001,Prince Edward Island,Total community admissions,729
2000/2001,Prince Edward Island,Probation and conditional sentences,573
2000/2001,Prince Edward Island,Probation,533
2000/2001,Prince Edward Island,Conditional sentence,40
2000/2001,Prince Edward Island,Other community programs,156
2000/2001,Prince Edward Island,Unknown community admissions,0
2000/2001,Nova Scotia,Total custodial admissions,3788
2000/2001,Nova Scotia,Sentenced,1624
2000/2001,Nova Scotia,Remand,1758
2000/2001,Nova Scotia,Other custodial statuses,406
2000/2001,Nova Scotia,Total community admissions,7564
2000/2001,Nova Scotia,Probation and conditional sentences,4276
2000/2001,Nova Scotia,Probation,3653
2000/2001,Nova Scotia,Conditional sentence,623
2000/2001,Nova Scotia,Other community programs,3288
2000/2001,Nova Scotia,Unknown community admissions,0
2000/2001,New Brunswick,Total custodial admissions,
2000/2001,New Brunswick,Sentenced,
2000/2001,New Brunswick,Remand,
2000/2001,New Brunswick,Other custodial statuses,
2000/2001,New Brunswick,Total community admissions,3341
2000/2001,New Brunswick,Probation and conditional sentences,2415
2000/2001,New Brunswick,Probation,1733
2000/2001,New Brunswick,Conditional sentence,682
2000/2001,New Brunswick,Other community programs,926
2000/2001,New Brunswick,Unknown community admissions,0
2000/2001,Quebec,Total custodial admissions,43911
2000/2001,Quebec,Sentenced,14951
2000/2001,Quebec,Remand,26063
2000/2001,Quebec,Other custodial statuses,2897
2000/2001,Quebec,Total community admissions,18001
2000/2001,Quebec,Probation and conditional sentences,11963
2000/2001,Quebec,Probation,7704
2000/2001,Quebec,Conditional sentence,4259
2000/2001,Quebec,Other community programs,6038
2000/2001,Quebec,Unknown community admissions,0
2000/2001,Ontario,Total custodial admissions,86417
2000/2001,Ontario,Sentenced,30999
2000/2001,Ontario,Remand,52179
2000/2001,Ontario,Other custodial statuses,3239
2000/2001,Ontario,Total community admissions,47290
2000/2001,Ontario,Probation and conditional sentences,39131
2000/2001,Ontario,Probation,34920
2000/2001,Ontario,Conditional sentence,4211
2000/2001,Ontario,Other community programs,8159
2000/2001,Ontario,Unknown community admissions,0
2000/2001,Manitoba,Total custodial admissions,14780
2000/2001,Manitoba,Sentenced,2901
2000/2001,Manitoba,Remand,6955
2000/2001,Manitoba,Other custodial statuses,4924
