REF_DATE,GEO,Custodial admissions,Sex,VALUE
2000/2001,All Provinces and territories,"Total, custodial admissions","Total, custodial admission by sex",201357
2000/2001,All Provinces and territories,"Total, custodial admissions",Male,181027
2000/2001,All Provinces and territories,"Total, custodial admissions",Female,19893
2000/2001,All Provinces and territories,"Total, custodial admissions",Sex unknown,437
2000/2001,All Provinces and territories,Sentenced,"Total, custodial admission by sex",66069
2000/2001,All Provinces and territories,Sentenced,Male,60216
2000/2001,All Provinces and territories,Sentenced,Female,5624
2000/2001,All Provinces and territories,Sentenced,Sex unknown,229
2000/2001,All Provinces and territories,Remand,"Total, custodial admission by sex",110387
2000/2001,All Provinces and territories,Remand,Male,99380
2000/2001,All Provinces and territories,Remand,Female,10802
2000/2001,All Provinces and territories,Remand,Sex unknown,205
2000/2001,All Provinces and territories,Other custodial statuses,"Total, custodial admission by sex",24901
2000/2001,All Provinces and territories,Other custodial statuses,Male,21431
2000/2001,All Provinces and territories,Other custodial statuses,Female,3467
2000/2001,All Provinces and territories,Other custodial statuses,Sex unknown,3
2000/2001,Newfoundland and Labrador,"Total, custodial admissions","Total, custodial admission by sex",1332
2000/2001,Newfoundland and Labrador,"Total, custodial admissions",Male,1240
2000/2001,Newfoundland and Labrador,"Total, custodial admissions",Female,92
2000/2001,Newfoundland and Labrador,"Total, custodial admissions",Sex unknown,0
2000/2001,Newfoundland and Labrador,Sentenced,"Total, custodial admission by sex",944
2000/2001,Newfoundland and Labrador,Sentenced,Male,872
2000/2001,Newfoundland and Labrador,Sentenced,Female,72
2000/2001,Newfoundland and Labrador,Sentenced,Sex unknown,0
2000/2001,Newfoundland and Labrador,Remand,"Total, custodial admission by sex",388
2000/2001,Newfoundland and Labrador,Remand,Male,368
2000/2001,Newfoundland and Labrador,Remand,Female,20
2000/2001,Newfoundland and Labrador,Remand,Sex unknown,0
2000/2001,Newfoundland and Labrador,Other custodial statuses,"Total, custodial admission by sex",
2000/2001,Newfoundland and Labrador,Other custodial statuses,Male,
2000/2001,Newfoundland and Labrador,Other custodial statuses,Female,
2000/2001,Newfoundland and Labrador,Other custodial statuses,Sex unknown,
2000/2001,Prince Edward Island,"Total, custodial admissions","Total, custodial admission by sex",762
2000/2001,Prince Edward Island,"Total, custodial admissions",Male,701
2000/2001,Prince Edward Island,"Total, custodial admissions",Female,61
2000/2001,Prince Edward Island,"Total, custodial admissions",Sex unknown,0
2000/2001,Prince Edward Island,Sentenced,"Total, custodial admission by sex",586
2000/2001,Prince Edward Island,Sentenced,Male,530
2000/2001,Prince Edward Island,Sentenced,Female,56
2000/2001,Prince Edward Island,Sentenced,Sex unknown,0
2000/2001,Prince Edward Island,Remand,"Total, custodial admission by sex",176
2000/2001,Prince Edward Island,Remand,Male,171
2000/2001,Prince Edward Island,Remand,Female,5
2000/2001,Prince Edward Island,Remand,Sex unknown,0
2000/2001,Prince Edward Island,Other custodial statuses,"Total, custodial admission by sex",
