REF_DATE,GEO,Custodial admissions,Indigenous identity,VALUE
2000/2001,All Provinces and territories,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",201357
2000/2001,All Provinces and territories,"Total, custodial admissions",Indigenous identity,34283
2000/2001,All Provinces and territories,"Total, custodial admissions",Non-Indigenous identity,164097
2000/2001,All Provinces and territories,"Total, custodial admissions",Indigenous identity unknown,2977
2000/2001,All Provinces and territories,Sentenced,"Total, custodial admissions by Indigenous identity",66069
2000/2001,All Provinces and territories,Sentenced,Indigenous identity,9603
2000/2001,All Provinces and territories,Sentenced,Non-Indigenous identity,55161
2000/2001,All Provinces and territories,Sentenced,Indigenous identity unknown,1305
2000/2001,All Provinces and territories,Remand,"Total, custodial admissions by Indigenous identity",110387
2000/2001,All Provinces and territories,Remand,Indigenous identity,19490
2000/2001,All Provinces and territories,Remand,Non-Indigenous identity,89278
2000/2001,All Provinces and territories,Remand,Indigenous identity unknown,1619
2000/2001,All Provinces and territories,Other custodial statuses,"Total, custodial admissions by Indigenous identity",24901
2000/2001,All Provinces and territories,Other custodial statuses,Indigenous identity,5190
2000/2001,All Provinces and territories,Other custodial statuses,Non-Indigenous identity,19658
2000/2001,All Provinces and territories,Other custodial statuses,Indigenous identity unknown,53
2000/2001,Newfoundland and Labrador,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",1332
2000/2001,Newfoundland and Labrador,"Total, custodial admissions",Indigenous identity,148
2000/2001,Newfoundland and Labrador,"Total, custodial admissions",Non-Indigenous identity,1184
2000/2001,Newfoundland and Labrador,"Total, custodial admissions",Indigenous identity unknown,0
2000/2001,Newfoundland and Labrador,Sentenced,"Total, custodial admissions by Indigenous identity",944
2000/2001,Newfoundland and Labrador,Sentenced,Indigenous identity,70
2000/2001,Newfoundland and Labrador,Sentenced,Non-Indigenous identity,874
2000/2001,Newfoundland and Labrador,Sentenced,Indigenous identity unknown,0
2000/2001,Newfoundland and Labrador,Remand,"Total, custodial admissions by Indigenous identity",388
2000/2001,Newfoundland and Labrador,Remand,Indigenous identity,78
2000/2001,Newfoundland and Labrador,Remand,Non-Indigenous identity,310
2000/2001,Newfoundland and Labrador,Remand,Indigenous identity unknown,0
2000/2001,Newfoundland and Labrador,Other custodial statuses,"Total, custodial admissions by Indigenous identity",
2000/2001,Newfoundland and Labrador,Other custodial statuses,Indigenous identity,
2000/2001,Newfoundland and Labrador,Other custodial statuses,Non-Indigenous identity,
2000/2001,Newfoundland and Labrador,Other custodial statuses,Indigenous identity unknown,
2000/2001,Prince Edward Island,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",762
2000/2001,Prince Edward Island,"Total, custodial admissions",Indigenous identity,5
2000/2001,Prince Edward Island,"Total, custodial admissions",Non-Indigenous identity,757
2000/2001,Prince Edward Island,"Total, custodial admissions",Indigenous identity unknown,0
2000/2001,Prince Edward Island,Sentenced,"Total, custodial admissions by Indigenous identity",586
2000/2001,Prince Edward Island,Sentenced,Indigenous identity,4
2000/2001,Prince Edward Island,Sentenced,Non-Indigenous identity,582
2000/2001,Prince Edward Island,Sentenced,Indigenous identity unknown,0
2000/2001,Prince Edward Island,Remand,"Total, custodial admissions by Indigenous identity",176
2000/2001,Prince Edward Island,Remand,Indigenous identity,1
2000/2001,Prince Edward Island,Remand,Non-Indigenous identity,175
2000/2001,Prince Edward Island,Remand,Indigenous identity unknown,0
2000/2001,Prince Edward Island,Other custodial statuses,"Total, custodial admissions by Indigenous identity",
2000/2001,Prince Edward Island,Other custodial statuses,Indigenous identity,
2000/2001,Prince Edward Island,Other custodial statuses,Non-Indigenous identity,
2000/2001,Prince Edward Island,Other custodial statuses,Indigenous identity unknown,
2000/2001,Nova Scotia,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",3788
2000/2001,Nova Scotia,"Total, custodial admissions",Indigenous identity,279
2000/2001,Nova Scotia,"Total, custodial admissions",Non-Indigenous identity,3423
2000/2001,Nova Scotia,"Total, custodial admissions",Indigenous identity unknown,86
2000/2001,Nova Scotia,Sentenced,"Total, custodial admissions by Indigenous identity",1624
2000/2001,Nova Scotia,Sentenced,Indigenous identity,110
2000/2001,Nova Scotia,Sentenced,Non-Indigenous identity,1485
2000/2001,Nova Scotia,Sentenced,Indigenous identity unknown,29
2000/2001,Nova Scotia,Remand,"Total, custodial admissions by Indigenous identity",1758
2000/2001,Nova Scotia,Remand,Indigenous identity,142
2000/2001,Nova Scotia,Remand,Non-Indigenous identity,1566
2000/2001,Nova Scotia,Remand,Indigenous identity unknown,50
2000/2001,Nova Scotia,Other custodial statuses,"Total, custodial admissions by Indigenous identity",406
2000/2001,Nova Scotia,Other custodial statuses,Indigenous identity,27
2000/2001,Nova Scotia,Other custodial statuses,Non-Indigenous identity,372
2000/2001,Nova Scotia,Other custodial statuses,Indigenous identity unknown,7
2000/2001,New Brunswick,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",
2000/2001,New Brunswick,"Total, custodial admissions",Indigenous identity,
2000/2001,New Brunswick,"Total, custodial admissions",Non-Indigenous identity,
2000/2001,New Brunswick,"Total, custodial admissions",Indigenous identity unknown,
2000/2001,New Brunswick,Sentenced,"Total, custodial admissions by Indigenous identity",
2000/2001,New Brunswick,Sentenced,Indigenous identity,
2000/2001,New Brunswick,Sentenced,Non-Indigenous identity,
2000/2001,New Brunswick,Sentenced,Indigenous identity unknown,
2000/2001,New Brunswick,Remand,"Total, custodial admissions by Indigenous identity",
2000/2001,New Brunswick,Remand,Indigenous identity,
2000/2001,New Brunswick,Remand,Non-Indigenous identity,
2000/2001,New Brunswick,Remand,Indigenous identity unknown,
2000/2001,New Brunswick,Other custodial statuses,"Total, custodial admissions by Indigenous identity",
2000/2001,New Brunswick,Other custodial statuses,Indigenous identity,
2000/2001,New Brunswick,Other custodial statuses,Non-Indigenous identity,
2000/2001,New Brunswick,Other custodial statuses,Indigenous identity unknown,
2000/2001,Quebec,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",43911
2000/2001,Quebec,"Total, custodial admissions",Indigenous identity,1246
2000/2001,Quebec,"Total, custodial admissions",Non-Indigenous identity,41838
2000/2001,Quebec,"Total, custodial admissions",Indigenous identity unknown,827
2000/2001,Quebec,Sentenced,"Total, custodial admissions by Indigenous identity",14951
2000/2001,Quebec,Sentenced,Indigenous identity,280
2000/2001,Quebec,Sentenced,Non-Indigenous identity,14456
2000/2001,Quebec,Sentenced,Indigenous identity unknown,215
2000/2001,Quebec,Remand,"Total, custodial admissions by Indigenous identity",26063
2000/2001,Quebec,Remand,Indigenous identity,931
2000/2001,Quebec,Remand,Non-Indigenous identity,24559
2000/2001,Quebec,Remand,Indigenous identity unknown,573
2000/2001,Quebec,Other custodial statuses,"Total, custodial admissions by Indigenous identity",2897
2000/2001,Quebec,Other custodial statuses,Indigenous identity,35
2000/2001,Quebec,Other custodial statuses,Non-Indigenous identity,2823
2000/2001,Quebec,Other custodial statuses,Indigenous identity unknown,39
2000/2001,Ontario,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",86417
2000/2001,Ontario,"Total, custodial admissions",Indigenous identity,6885
2000/2001,Ontario,"Total, custodial admissions",Non-Indigenous identity,79532
2000/2001,Ontario,"Total, custodial admissions",Indigenous identity unknown,0
2000/2001,Ontario,Sentenced,"Total, custodial admissions by Indigenous identity",30999
2000/2001,Ontario,Sentenced,Indigenous identity,2688
2000/2001,Ontario,Sentenced,Non-Indigenous identity,28311
2000/2001,Ontario,Sentenced,Indigenous identity unknown,0
2000/2001,Ontario,Remand,"Total, custodial admissions by Indigenous identity",52179
2000/2001,Ontario,Remand,Indigenous identity,4112
2000/2001,Ontario,Remand,Non-Indigenous identity,48067
2000/2001,Ontario,Remand,Indigenous identity unknown,0
2000/2001,Ontario,Other custodial statuses,"Total, custodial admissions by Indigenous identity",3239
2000/2001,Ontario,Other custodial statuses,Indigenous identity,85
2000/2001,Ontario,Other custodial statuses,Non-Indigenous identity,3154
2000/2001,Ontario,Other custodial statuses,Indigenous identity unknown,0
2000/2001,Manitoba,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",14780
2000/2001,Manitoba,"Total, custodial admissions",Indigenous identity,8740
2000/2001,Manitoba,"Total, custodial admissions",Non-Indigenous identity,6040
2000/2001,Manitoba,"Total, custodial admissions",Indigenous identity unknown,0
2000/2001,Manitoba,Sentenced,"Total, custodial admissions by Indigenous identity",2901
2000/2001,Manitoba,Sentenced,Indigenous identity,1854
2000/2001,Manitoba,Sentenced,Non-Indigenous identity,1047
2000/2001,Manitoba,Sentenced,Indigenous identity unknown,0
2000/2001,Manitoba,Remand,"Total, custodial admissions by Indigenous identity",6955
2000/2001,Manitoba,Remand,Indigenous identity,4233
2000/2001,Manitoba,Remand,Non-Indigenous identity,2722
2000/2001,Manitoba,Remand,Indigenous identity unknown,0
2000/2001,Manitoba,Other custodial statuses,"Total, custodial admissions by Indigenous identity",4924
2000/2001,Manitoba,Other custodial statuses,Indigenous identity,2653
2000/2001,Manitoba,Other custodial statuses,Non-Indigenous identity,2271
2000/2001,Manitoba,Other custodial statuses,Indigenous identity unknown,0
2000/2001,Saskatchewan,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",12989
2000/2001,Saskatchewan,"Total, custodial admissions",Indigenous identity,9886
2000/2001,Saskatchewan,"Total, custodial admissions",Non-Indigenous identity,2904
2000/2001,Saskatchewan,"Total, custodial admissions",Indigenous identity unknown,199
2000/2001,Saskatchewan,Sentenced,"Total, custodial admissions by Indigenous identity",3219
2000/2001,Saskatchewan,Sentenced,Indigenous identity,2453
2000/2001,Saskatchewan,Sentenced,Non-Indigenous identity,736
2000/2001,Saskatchewan,Sentenced,Indigenous identity unknown,30
2000/2001,Saskatchewan,Remand,"Total, custodial admissions by Indigenous identity",9548
2000/2001,Saskatchewan,Remand,Indigenous identity,7285
2000/2001,Saskatchewan,Remand,Non-Indigenous identity,2100
2000/2001,Saskatchewan,Remand,Indigenous identity unknown,163
2000/2001,Saskatchewan,Other custodial statuses,"Total, custodial admissions by Indigenous identity",222
2000/2001,Saskatchewan,Other custodial statuses,Indigenous identity,148
2000/2001,Saskatchewan,Other custodial statuses,Non-Indigenous identity,68
2000/2001,Saskatchewan,Other custodial statuses,Indigenous identity unknown,6
2000/2001,Alberta,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",
2000/2001,Alberta,"Total, custodial admissions",Indigenous identity,
2000/2001,Alberta,"Total, custodial admissions",Non-Indigenous identity,
2000/2001,Alberta,"Total, custodial admissions",Indigenous identity unknown,
2000/2001,Alberta,Sentenced,"Total, custodial admissions by Indigenous identity",
2000/2001,Alberta,Sentenced,Indigenous identity,
2000/2001,Alberta,Sentenced,Non-Indigenous identity,
2000/2001,Alberta,Sentenced,Indigenous identity unknown,
2000/2001,Alberta,Remand,"Total, custodial admissions by Indigenous identity",
2000/2001,Alberta,Remand,Indigenous identity,
2000/2001,Alberta,Remand,Non-Indigenous identity,
2000/2001,Alberta,Remand,Indigenous identity unknown,
2000/2001,Alberta,Other custodial statuses,"Total, custodial admissions by Indigenous identity",
2000/2001,Alberta,Other custodial statuses,Indigenous identity,
2000/2001,Alberta,Other custodial statuses,Non-Indigenous identity,
2000/2001,Alberta,Other custodial statuses,Indigenous identity unknown,
2000/2001,British Columbia,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",34904
2000/2001,British Columbia,"Total, custodial admissions",Indigenous identity,6637
2000/2001,British Columbia,"Total, custodial admissions",Non-Indigenous identity,28267
2000/2001,British Columbia,"Total, custodial admissions",Indigenous identity unknown,0
2000/2001,British Columbia,Sentenced,"Total, custodial admissions by Indigenous identity",9520
2000/2001,British Columbia,Sentenced,Indigenous identity,1931
2000/2001,British Columbia,Sentenced,Non-Indigenous identity,7589
2000/2001,British Columbia,Sentenced,Indigenous identity unknown,0
2000/2001,British Columbia,Remand,"Total, custodial admissions by Indigenous identity",12185
2000/2001,British Columbia,Remand,Indigenous identity,2474
2000/2001,British Columbia,Remand,Non-Indigenous identity,9711
2000/2001,British Columbia,Remand,Indigenous identity unknown,0
2000/2001,British Columbia,Other custodial statuses,"Total, custodial admissions by Indigenous identity",13199
2000/2001,British Columbia,Other custodial statuses,Indigenous identity,2232
2000/2001,British Columbia,Other custodial statuses,Non-Indigenous identity,10967
2000/2001,British Columbia,Other custodial statuses,Indigenous identity unknown,0
2000/2001,Yukon,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",609
2000/2001,Yukon,"Total, custodial admissions",Indigenous identity,457
2000/2001,Yukon,"Total, custodial admissions",Non-Indigenous identity,152
2000/2001,Yukon,"Total, custodial admissions",Indigenous identity unknown,0
2000/2001,Yukon,Sentenced,"Total, custodial admissions by Indigenous identity",294
2000/2001,Yukon,Sentenced,Indigenous identity,213
2000/2001,Yukon,Sentenced,Non-Indigenous identity,81
2000/2001,Yukon,Sentenced,Indigenous identity unknown,0
2000/2001,Yukon,Remand,"Total, custodial admissions by Indigenous identity",302
2000/2001,Yukon,Remand,Indigenous identity,234
2000/2001,Yukon,Remand,Non-Indigenous identity,68
2000/2001,Yukon,Remand,Indigenous identity unknown,0
2000/2001,Yukon,Other custodial statuses,"Total, custodial admissions by Indigenous identity",13
2000/2001,Yukon,Other custodial statuses,Indigenous identity,10
2000/2001,Yukon,Other custodial statuses,Non-Indigenous identity,3
2000/2001,Yukon,Other custodial statuses,Indigenous identity unknown,0
2000/2001,Northwest Territories,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",1431
2000/2001,Northwest Territories,"Total, custodial admissions",Indigenous identity,
2000/2001,Northwest Territories,"Total, custodial admissions",Non-Indigenous identity,
2000/2001,Northwest Territories,"Total, custodial admissions",Indigenous identity unknown,1431
2000/2001,Northwest Territories,Sentenced,"Total, custodial admissions by Indigenous identity",802
2000/2001,Northwest Territories,Sentenced,Indigenous identity,
2000/2001,Northwest Territories,Sentenced,Non-Indigenous identity,
2000/2001,Northwest Territories,Sentenced,Indigenous identity unknown,802
2000/2001,Northwest Territories,Remand,"Total, custodial admissions by Indigenous identity",628
2000/2001,Northwest Territories,Remand,Indigenous identity,
2000/2001,Northwest Territories,Remand,Non-Indigenous identity,
2000/2001,Northwest Territories,Remand,Indigenous identity unknown,628
2000/2001,Northwest Territories,Other custodial statuses,"Total, custodial admissions by Indigenous identity",1
2000/2001,Northwest Territories,Other custodial statuses,Indigenous identity,
2000/2001,Northwest Territories,Other custodial statuses,Non-Indigenous identity,
2000/2001,Northwest Territories,Other custodial statuses,Indigenous identity unknown,1
2000/2001,Nunavut,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",434
2000/2001,Nunavut,"Total, custodial admissions",Indigenous identity,
2000/2001,Nunavut,"Total, custodial admissions",Non-Indigenous identity,
2000/2001,Nunavut,"Total, custodial admissions",Indigenous identity unknown,434
