REF_DATE,GEO,Custodial admissions,Age group,VALUE
2000/2001,All Provinces and territories,"Total, custodial admissions","Total, custodial admissions by age group",201357
2000/2001,All Provinces and territories,"Total, custodial admissions",18 to 19 years,16571
2000/2001,All Provinces and territories,"Total, custodial admissions",20 to 24 years,39780
2000/2001,All Provinces and territories,"Total, custodial admissions",25 to 29 years,31733
2000/2001,All Provinces and territories,"Total, custodial admissions",30 to 34 years,33390
2000/2001,All Provinces and territories,"Total, custodial admissions",35 to 39 years,32270
2000/2001,All Provinces and territories,"Total, custodial admissions",40 to 44 years,22113
2000/2001,All Provinces and territories,"Total, custodial admissions",45 to 49 years,11922
2000/2001,All Provinces and territories,"Total, custodial admissions",50 years and over,11510
2000/2001,All Provinces and territories,"Total, custodial admissions",Age unknown,2068
2000/2001,All Provinces and territories,Sentenced,"Total, custodial admissions by age group",66069
2000/2001,All Provinces and territories,Sentenced,18 to 19 years,4355
2000/2001,All Provinces and territories,Sentenced,20 to 24 years,12126
2000/2001,All Provinces and territories,Sentenced,25 to 29 years,10294
2000/2001,All Provinces and territories,Sentenced,30 to 34 years,11047
2000/2001,All Provinces and territories,Sentenced,35 to 39 years,10818
2000/2001,All Provinces and territories,Sentenced,40 to 44 years,7827
2000/2001,All Provinces and territories,Sentenced,45 to 49 years,4242
2000/2001,All Provinces and territories,Sentenced,50 years and over,4289
2000/2001,All Provinces and territories,Sentenced,Age unknown,1071
2000/2001,All Provinces and territories,Remand,"Total, custodial admissions by age group",110387
2000/2001,All Provinces and territories,Remand,18 to 19 years,10576
2000/2001,All Provinces and territories,Remand,20 to 24 years,22119
2000/2001,All Provinces and territories,Remand,25 to 29 years,17020
2000/2001,All Provinces and territories,Remand,30 to 34 years,17975
2000/2001,All Provinces and territories,Remand,35 to 39 years,17582
2000/2001,All Provinces and territories,Remand,40 to 44 years,11758
2000/2001,All Provinces and territories,Remand,45 to 49 years,6334
2000/2001,All Provinces and territories,Remand,50 years and over,6092
2000/2001,All Provinces and territories,Remand,Age unknown,931
2000/2001,All Provinces and territories,Other custodial statuses,"Total, custodial admissions by age group",24901
2000/2001,All Provinces and territories,Other custodial statuses,18 to 19 years,1640
2000/2001,All Provinces and territories,Other custodial statuses,20 to 24 years,5535
