REF_DATE,GEO,Sex,Sentence length ordered,VALUE
2000/2001,All Provinces and territories,"Total, custodial admission by sex","Total, sentence length ordered",66069
2000/2001,All Provinces and territories,"Total, custodial admission by sex",1 month or less,27389
2000/2001,All Provinces and territories,"Total, custodial admission by sex",Greater than 1 month to 3 months,16099
2000/2001,All Provinces and territories,"Total, custodial admission by sex",Greater than 3 months to 6 months,7273
2000/2001,All Provinces and territories,"Total, custodial admission by sex",Greater than 6 months to 12 months,4307
2000/2001,All Provinces and territories,"Total, custodial admission by sex",Greater than 12 to less than 24 months,2281
2000/2001,All Provinces and territories,"Total, custodial admission by sex",24 months or more,1958
2000/2001,All Provinces and territories,"Total, custodial admission by sex",Unknown sentence length ordered,6762
2000/2001,All Provinces and territories,Male,"Total, sentence length ordered",60216
2000/2001,All Provinces and territories,Male,1 month or less,24238
2000/2001,All Provinces and territories,Male,Greater than 1 month to 3 months,14982
2000/2001,All Provinces and territories,Male,Greater than 3 months to 6 months,6817
2000/2001,All Provinces and territories,Male,Greater than 6 months to 12 months,4113
2000/2001,All Provinces and territories,Male,Greater than 12 to less than 24 months,2186
2000/2001,All Provinces and territories,Male,24 months or more,1831
2000/2001,All Provinces and territories,Male,Unknown sentence length ordered,6049
2000/2001,All Provinces and territories,Female,"Total, sentence length ordered",5624
2000/2001,All Provinces and territories,Female,1 month or less,3151
2000/2001,All Provinces and territories,Female,Greater than 1 month to 3 months,1117
2000/2001,All Provinces and territories,Female,Greater than 3 months to 6 months,456
2000/2001,All Provinces and territories,Female,Greater than 6 months to 12 months,194
2000/2001,All Provinces and territories,Female,Greater than 12 to less than 24 months,95
2000/2001,All Provinces and territories,Female,24 months or more,127
2000/2001,All Provinces and territories,Female,Unknown sentence length ordered,484
2000/2001,All Provinces and territories,Sex unknown,"Total, sentence length ordered",229
2000/2001,All Provinces and territories,Sex unknown,1 month or less,0
2000/2001,All Provinces and territories,Sex unknown,Greater than 1 month to 3 months,0
2000/2001,All Provinces and territories,Sex unknown,Greater than 3 months to 6 months,0
2000/2001,All Provinces and territories,Sex unknown,Greater than 6 months to 12 months,0
2000/2001,All Provinces and territories,Sex unknown,Greater than 12 to less than 24 months,0
2000/2001,All Provinces and territories,Sex unknown,24 months or more,0
2000/2001,All Provinces and territories,Sex unknown,Unknown sentence length ordered,229
2000/2001,Newfoundland and Labrador,"Total, custodial admission by sex","Total, sentence length ordered",944
2000/2001,Newfoundland and Labrador,"Total, custodial admission by sex",1 month or less,381
2000/2001,Newfoundland and Labrador,"Total, custodial admission by sex",Greater than 1 month to 3 months,248
2000/2001,Newfoundland and Labrador,"Total, custodial admission by sex",Greater than 3 months to 6 months,124
2000/2001,Newfoundland and Labrador,"Total, custodial admission by sex",Greater than 6 months to 12 months,80
2000/2001,Newfoundland and Labrador,"Total, custodial admission by sex",Greater than 12 to less than 24 months,26
2000/2001,Newfoundland and Labrador,"Total, custodial admission by sex",24 months or more,18
2000/2001,Newfoundland and Labrador,"Total, custodial admission by sex",Unknown sentence length ordered,67
2000/2001,Newfoundland and Labrador,"Total, custodial admission by sex",Median sentence length ordered,
2000/2001,Newfoundland and Labrador,Male,"Total, sentence length ordered",872
2000/2001,Newfoundland and Labrador,Male,1 month or less,345
2000/2001,Newfoundland and Labrador,Male,Greater than 1 month to 3 months,230
2000/2001,Newfoundland and Labrador,Male,Greater than 3 months to 6 months,115
2000/2001,Newfoundland and Labrador,Male,Greater than 6 months to 12 months,76
2000/2001,Newfoundland and Labrador,Male,Greater than 12 to less than 24 months,25
2000/2001,Newfoundland and Labrador,Male,24 months or more,17
2000/2001,Newfoundland and Labrador,Male,Unknown sentence length ordered,64
2000/2001,Newfoundland and Labrador,Female,"Total, sentence length ordered",72
2000/2001,Newfoundland and Labrador,Female,1 month or less,36
2000/2001,Newfoundland and Labrador,Female,Greater than 1 month to 3 months,18
2000/2001,Newfoundland and Labrador,Female,Greater than 3 months to 6 months,9
2000/2001,Newfoundland and Labrador,Female,Greater than 6 months to 12 months,4
2000/2001,Newfoundland and Labrador,Female,Greater than 12 to less than 24 months,1
2000/2001,Newfoundland and Labrador,Female,24 months or more,1
2000/2001,Newfoundland and Labrador,Female,Unknown sentence length ordered,3
2000/2001,Newfoundland and Labrador,Sex unknown,"Total, sentence length ordered",0
2000/2001,Newfoundland and Labrador,Sex unknown,1 month or less,0
2000/2001,Newfoundland and Labrador,Sex unknown,Greater than 1 month to 3 months,0
2000/2001,Newfoundland and Labrador,Sex unknown,Greater than 3 months to 6 months,0
2000/2001,Newfoundland and Labrador,Sex unknown,Greater than 6 months to 12 months,0
2000/2001,Newfoundland and Labrador,Sex unknown,Greater than 12 to less than 24 months,0
2000/2001,Newfoundland and Labrador,Sex unknown,24 months or more,0
2000/2001,Newfoundland and Labrador,Sex unknown,Unknown sentence length ordered,0
2000/2001,Prince Edward Island,"Total, custodial admission by sex","Total, sentence length ordered",586
2000/2001,Prince Edward Island,"Total, custodial admission by sex",1 month or less,444
2000/2001,Prince Edward Island,"Total, custodial admission by sex",Greater than 1 month to 3 months,76
2000/2001,Prince Edward Island,"Total, custodial admission by sex",Greater than 3 months to 6 months,54
2000/2001,Prince Edward Island,"Total, custodial admission by sex",Greater than 6 months to 12 months,12
2000/2001,Prince Edward Island,"Total, custodial admission by sex",Greater than 12 to less than 24 months,0
2000/2001,Prince Edward Island,"Total, custodial admission by sex",24 months or more,0
2000/2001,Prince Edward Island,"Total, custodial admission by sex",Unknown sentence length ordered,0
2000/2001,Prince Edward Island,Male,"Total, sentence length ordered",530
2000/2001,Prince Edward Island,Male,1 month or less,412
2000/2001,Prince Edward Island,Male,Greater than 1 month to 3 months,60
2000/2001,Prince Edward Island,Male,Greater than 3 months to 6 months,46
2000/2001,Prince Edward Island,Male,Greater than 6 months to 12 months,12
2000/2001,Prince Edward Island,Male,Greater than 12 to less than 24 months,0
2000/2001,Prince Edward Island,Male,24 months or more,0
2000/2001,Prince Edward Island,Male,Unknown sentence length ordered,0
2000/2001,Prince Edward Island,Female,"Total, sentence length ordered",56
2000/2001,Prince Edward Island,Female,1 month or less,32
2000/2001,Prince Edward Island,Female,Greater than 1 month to 3 months,16
2000/2001,Prince Edward Island,Female,Greater than 3 months to 6 months,8
2000/2001,Prince Edward Island,Female,Greater than 6 months to 12 months,0
2000/2001,Prince Edward Island,Female,Greater than 12 to less than 24 months,0
2000/2001,Prince Edward Island,Female,24 months or more,0
2000/2001,Prince Edward Island,Female,Unknown sentence length ordered,0
2000/2001,Prince Edward Island,Sex unknown,"Total, sentence length ordered",0
2000/2001,Prince Edward Island,Sex unknown,1 month or less,0
2000/2001,Prince Edward Island,Sex unknown,Greater than 1 month to 3 months,0
2000/2001,Prince Edward Island,Sex unknown,Greater than 3 months to 6 months,0
2000/2001,Prince Edward Island,Sex unknown,Greater than 6 months to 12 months,0
2000/2001,Prince Edward Island,Sex unknown,Greater than 12 to less than 24 months,0
2000/2001,Prince Edward Island,Sex unknown,24 months or more,0
2000/2001,Prince Edward Island,Sex unknown,Unknown sentence length ordered,0
2000/2001,Nova Scotia,"Total, custodial admission by sex","Total, sentence length ordered",1624
2000/2001,Nova Scotia,"Total, custodial admission by sex",1 month or less,588
2000/2001,Nova Scotia,"Total, custodial admission by sex",Greater than 1 month to 3 months,384
2000/2001,Nova Scotia,"Total, custodial admission by sex",Greater than 3 months to 6 months,239
2000/2001,Nova Scotia,"Total, custodial admission by sex",Greater than 6 months to 12 months,138
2000/2001,Nova Scotia,"Total, custodial admission by sex",Greater than 12 to less than 24 months,72
2000/2001,Nova Scotia,"Total, custodial admission by sex",24 months or more,203
2000/2001,Nova Scotia,"Total, custodial admission by sex",Unknown sentence length ordered,0
2000/2001,Nova Scotia,"Total, custodial admission by sex",Median sentence length ordered,60
2000/2001,Nova Scotia,Male,"Total, sentence length ordered",1523
2000/2001,Nova Scotia,Male,1 month or less,539
2000/2001,Nova Scotia,Male,Greater than 1 month to 3 months,365
2000/2001,Nova Scotia,Male,Greater than 3 months to 6 months,228
2000/2001,Nova Scotia,Male,Greater than 6 months to 12 months,134
2000/2001,Nova Scotia,Male,Greater than 12 to less than 24 months,71
2000/2001,Nova Scotia,Male,24 months or more,186
2000/2001,Nova Scotia,Male,Unknown sentence length ordered,0
2000/2001,Nova Scotia,Female,"Total, sentence length ordered",101
2000/2001,Nova Scotia,Female,1 month or less,49
2000/2001,Nova Scotia,Female,Greater than 1 month to 3 months,19
2000/2001,Nova Scotia,Female,Greater than 3 months to 6 months,11
2000/2001,Nova Scotia,Female,Greater than 6 months to 12 months,4
2000/2001,Nova Scotia,Female,Greater than 12 to less than 24 months,1
2000/2001,Nova Scotia,Female,24 months or more,17
2000/2001,Nova Scotia,Female,Unknown sentence length ordered,0
2000/2001,Nova Scotia,Sex unknown,"Total, sentence length ordered",0
2000/2001,Nova Scotia,Sex unknown,1 month or less,0
2000/2001,Nova Scotia,Sex unknown,Greater than 1 month to 3 months,0
2000/2001,Nova Scotia,Sex unknown,Greater than 3 months to 6 months,0
2000/2001,Nova Scotia,Sex unknown,Greater than 6 months to 12 months,0
2000/2001,Nova Scotia,Sex unknown,Greater than 12 to less than 24 months,0
2000/2001,Nova Scotia,Sex unknown,24 months or more,0
2000/2001,Nova Scotia,Sex unknown,Unknown sentence length ordered,0
2000/2001,New Brunswick,"Total, custodial admission by sex","Total, sentence length ordered",
2000/2001,New Brunswick,"Total, custodial admission by sex",1 month or less,
2000/2001,New Brunswick,"Total, custodial admission by sex",Greater than 1 month to 3 months,
2000/2001,New Brunswick,"Total, custodial admission by sex",Greater than 3 months to 6 months,
2000/2001,New Brunswick,"Total, custodial admission by sex",Greater than 6 months to 12 months,
2000/2001,New Brunswick,"Total, custodial admission by sex",Greater than 12 to less than 24 months,
2000/2001,New Brunswick,"Total, custodial admission by sex",24 months or more,
2000/2001,New Brunswick,"Total, custodial admission by sex",Unknown sentence length ordered,
2000/2001,New Brunswick,"Total, custodial admission by sex",Median sentence length ordered,
2000/2001,New Brunswick,Male,"Total, sentence length ordered",
2000/2001,New Brunswick,Male,1 month or less,
2000/2001,New Brunswick,Male,Greater than 1 month to 3 months,
2000/2001,New Brunswick,Male,Greater than 3 months to 6 months,
2000/2001,New Brunswick,Male,Greater than 6 months to 12 months,
2000/2001,New Brunswick,Male,Greater than 12 to less than 24 months,
2000/2001,New Brunswick,Male,24 months or more,
2000/2001,New Brunswick,Male,Unknown sentence length ordered,
2000/2001,New Brunswick,Female,"Total, sentence length ordered",
2000/2001,New Brunswick,Female,1 month or less,
2000/2001,New Brunswick,Female,Greater than 1 month to 3 months,
2000/2001,New Brunswick,Female,Greater than 3 months to 6 months,
2000/2001,New Brunswick,Female,Greater than 6 months to 12 months,
2000/2001,New Brunswick,Female,Greater than 12 to less than 24 months,
2000/2001,New Brunswick,Female,24 months or more,
2000/2001,New Brunswick,Female,Unknown sentence length ordered,
2000/2001,New Brunswick,Sex unknown,"Total, sentence length ordered",
2000/2001,New Brunswick,Sex unknown,1 month or less,
2000/2001,New Brunswick,Sex unknown,Greater than 1 month to 3 months,
2000/2001,New Brunswick,Sex unknown,Greater than 3 months to 6 months,
2000/2001,New Brunswick,Sex unknown,Greater than 6 months to 12 months,
2000/2001,New Brunswick,Sex unknown,Greater than 12 to less than 24 months,
2000/2001,New Brunswick,Sex unknown,24 months or more,
2000/2001,New Brunswick,Sex unknown,Unknown sentence length ordered,
2000/2001,Quebec,"Total, custodial admission by sex","Total, sentence length ordered",14951
2000/2001,Quebec,"Total, custodial admission by sex",1 month or less,6021
2000/2001,Quebec,"Total, custodial admission by sex",Greater than 1 month to 3 months,2989
2000/2001,Quebec,"Total, custodial admission by sex",Greater than 3 months to 6 months,1025
2000/2001,Quebec,"Total, custodial admission by sex",Greater than 6 months to 12 months,500
2000/2001,Quebec,"Total, custodial admission by sex",Greater than 12 to less than 24 months,248
2000/2001,Quebec,"Total, custodial admission by sex",24 months or more,42
2000/2001,Quebec,"Total, custodial admission by sex",Unknown sentence length ordered,4126
2000/2001,Quebec,"Total, custodial admission by sex",Median sentence length ordered,28
2000/2001,Quebec,Male,"Total, sentence length ordered",13432
2000/2001,Quebec,Male,1 month or less,5225
2000/2001,Quebec,Male,Greater than 1 month to 3 months,2734
2000/2001,Quebec,Male,Greater than 3 months to 6 months,955
2000/2001,Quebec,Male,Greater than 6 months to 12 months,472
2000/2001,Quebec,Male,Greater than 12 to less than 24 months,233
2000/2001,Quebec,Male,24 months or more,40
2000/2001,Quebec,Male,Unknown sentence length ordered,3773
2000/2001,Quebec,Male,Median sentence length ordered,30
2000/2001,Quebec,Female,"Total, sentence length ordered",1519
2000/2001,Quebec,Female,1 month or less,796
2000/2001,Quebec,Female,Greater than 1 month to 3 months,255
2000/2001,Quebec,Female,Greater than 3 months to 6 months,70
2000/2001,Quebec,Female,Greater than 6 months to 12 months,28
2000/2001,Quebec,Female,Greater than 12 to less than 24 months,15
2000/2001,Quebec,Female,24 months or more,2
2000/2001,Quebec,Female,Unknown sentence length ordered,353
2000/2001,Quebec,Female,Median sentence length ordered,18
2000/2001,Quebec,Sex unknown,"Total, sentence length ordered",0
2000/2001,Quebec,Sex unknown,1 month or less,0
2000/2001,Quebec,Sex unknown,Greater than 1 month to 3 months,0
2000/2001,Quebec,Sex unknown,Greater than 3 months to 6 months,0
2000/2001,Quebec,Sex unknown,Greater than 6 months to 12 months,0
2000/2001,Quebec,Sex unknown,Greater than 12 to less than 24 months,0
2000/2001,Quebec,Sex unknown,24 months or more,0
2000/2001,Quebec,Sex unknown,Unknown sentence length ordered,0
2000/2001,Ontario,"Total, custodial admission by sex","Total, sentence length ordered",30999
2000/2001,Ontario,"Total, custodial admission by sex",1 month or less,14593
2000/2001,Ontario,"Total, custodial admission by sex",Greater than 1 month to 3 months,8881
2000/2001,Ontario,"Total, custodial admission by sex",Greater than 3 months to 6 months,3528
2000/2001,Ontario,"Total, custodial admission by sex",Greater than 6 months to 12 months,2013
2000/2001,Ontario,"Total, custodial admission by sex",Greater than 12 to less than 24 months,944
2000/2001,Ontario,"Total, custodial admission by sex",24 months or more,1040
2000/2001,Ontario,"Total, custodial admission by sex",Unknown sentence length ordered,0
2000/2001,Ontario,"Total, custodial admission by sex",Median sentence length ordered,40
2000/2001,Ontario,Male,"Total, sentence length ordered",28328
2000/2001,Ontario,Male,1 month or less,12894
2000/2001,Ontario,Male,Greater than 1 month to 3 months,8329
2000/2001,Ontario,Male,Greater than 3 months to 6 months,3304
2000/2001,Ontario,Male,Greater than 6 months to 12 months,1917
2000/2001,Ontario,Male,Greater than 12 to less than 24 months,909
2000/2001,Ontario,Male,24 months or more,975
2000/2001,Ontario,Male,Unknown sentence length ordered,0
2000/2001,Ontario,Male,Median sentence length ordered,45
2000/2001,Ontario,Female,"Total, sentence length ordered",2671
2000/2001,Ontario,Female,1 month or less,1699
2000/2001,Ontario,Female,Greater than 1 month to 3 months,552
2000/2001,Ontario,Female,Greater than 3 months to 6 months,224
2000/2001,Ontario,Female,Greater than 6 months to 12 months,96
2000/2001,Ontario,Female,Greater than 12 to less than 24 months,35
2000/2001,Ontario,Female,24 months or more,65
2000/2001,Ontario,Female,Unknown sentence length ordered,0
2000/2001,Ontario,Female,Median sentence length ordered,21
2000/2001,Ontario,Sex unknown,"Total, sentence length ordered",0
2000/2001,Ontario,Sex unknown,1 month or less,0
2000/2001,Ontario,Sex unknown,Greater than 1 month to 3 months,0
2000/2001,Ontario,Sex unknown,Greater than 3 months to 6 months,0
2000/2001,Ontario,Sex unknown,Greater than 6 months to 12 months,0
2000/2001,Ontario,Sex unknown,Greater than 12 to less than 24 months,0
2000/2001,Ontario,Sex unknown,24 months or more,0
2000/2001,Ontario,Sex unknown,Unknown sentence length ordered,0
2000/2001,Manitoba,"Total, custodial admission by sex","Total, sentence length ordered",2901
2000/2001,Manitoba,"Total, custodial admission by sex",1 month or less,686
2000/2001,Manitoba,"Total, custodial admission by sex",Greater than 1 month to 3 months,707
2000/2001,Manitoba,"Total, custodial admission by sex",Greater than 3 months to 6 months,426
2000/2001,Manitoba,"Total, custodial admission by sex",Greater than 6 months to 12 months,286
2000/2001,Manitoba,"Total, custodial admission by sex",Greater than 12 to less than 24 months,176
2000/2001,Manitoba,"Total, custodial admission by sex",24 months or more,157
2000/2001,Manitoba,"Total, custodial admission by sex",Unknown sentence length ordered,463
2000/2001,Manitoba,"Total, custodial admission by sex",Median sentence length ordered,90
2000/2001,Manitoba,Male,"Total, sentence length ordered",2734
2000/2001,Manitoba,Male,1 month or less,624
2000/2001,Manitoba,Male,Greater than 1 month to 3 months,674
2000/2001,Manitoba,Male,Greater than 3 months to 6 months,403
2000/2001,Manitoba,Male,Greater than 6 months to 12 months,276
2000/2001,Manitoba,Male,Greater than 12 to less than 24 months,169
2000/2001,Manitoba,Male,24 months or more,140
2000/2001,Manitoba,Male,Unknown sentence length ordered,448
2000/2001,Manitoba,Male,Median sentence length ordered,90
2000/2001,Manitoba,Female,"Total, sentence length ordered",167
2000/2001,Manitoba,Female,1 month or less,62
2000/2001,Manitoba,Female,Greater than 1 month to 3 months,33
2000/2001,Manitoba,Female,Greater than 3 months to 6 months,23
2000/2001,Manitoba,Female,Greater than 6 months to 12 months,10
2000/2001,Manitoba,Female,Greater than 12 to less than 24 months,7
2000/2001,Manitoba,Female,24 months or more,17
2000/2001,Manitoba,Female,Unknown sentence length ordered,15
2000/2001,Manitoba,Female,Median sentence length ordered,56
2000/2001,Manitoba,Sex unknown,"Total, sentence length ordered",0
2000/2001,Manitoba,Sex unknown,1 month or less,0
2000/2001,Manitoba,Sex unknown,Greater than 1 month to 3 months,0
2000/2001,Manitoba,Sex unknown,Greater than 3 months to 6 months,0
2000/2001,Manitoba,Sex unknown,Greater than 6 months to 12 months,0
2000/2001,Manitoba,Sex unknown,Greater than 12 to less than 24 months,0
2000/2001,Manitoba,Sex unknown,24 months or more,0
2000/2001,Manitoba,Sex unknown,Unknown sentence length ordered,0
2000/2001,Manitoba,Sex unknown,Median sentence length ordered,
2000/2001,Saskatchewan,"Total, custodial admission by sex","Total, sentence length ordered",3219
2000/2001,Saskatchewan,"Total, custodial admission by sex",1 month or less,932
2000/2001,Saskatchewan,"Total, custodial admission by sex",Greater than 1 month to 3 months,661
2000/2001,Saskatchewan,"Total, custodial admission by sex",Greater than 3 months to 6 months,542
2000/2001,Saskatchewan,"Total, custodial admission by sex",Greater than 6 months to 12 months,468
2000/2001,Saskatchewan,"Total, custodial admission by sex",Greater than 12 to less than 24 months,342
2000/2001,Saskatchewan,"Total, custodial admission by sex",24 months or more,198
2000/2001,Saskatchewan,"Total, custodial admission by sex",Unknown sentence length ordered,76
2000/2001,Saskatchewan,"Total, custodial admission by sex",Median sentence length ordered,119
2000/2001,Saskatchewan,Male,"Total, sentence length ordered",2931
2000/2001,Saskatchewan,Male,1 month or less,812
2000/2001,Saskatchewan,Male,Greater than 1 month to 3 months,590
2000/2001,Saskatchewan,Male,Greater than 3 months to 6 months,496
2000/2001,Saskatchewan,Male,Greater than 6 months to 12 months,448
2000/2001,Saskatchewan,Male,Greater than 12 to less than 24 months,326
2000/2001,Saskatchewan,Male,24 months or more,187
2000/2001,Saskatchewan,Male,Unknown sentence length ordered,72
2000/2001,Saskatchewan,Male,Median sentence length ordered,121
2000/2001,Saskatchewan,Female,"Total, sentence length ordered",288
2000/2001,Saskatchewan,Female,1 month or less,120
2000/2001,Saskatchewan,Female,Greater than 1 month to 3 months,71
2000/2001,Saskatchewan,Female,Greater than 3 months to 6 months,46
2000/2001,Saskatchewan,Female,Greater than 6 months to 12 months,20
2000/2001,Saskatchewan,Female,Greater than 12 to less than 24 months,16
2000/2001,Saskatchewan,Female,24 months or more,11
2000/2001,Saskatchewan,Female,Unknown sentence length ordered,4
2000/2001,Saskatchewan,Female,Median sentence length ordered,121
2000/2001,Saskatchewan,Sex unknown,"Total, sentence length ordered",0
2000/2001,Saskatchewan,Sex unknown,1 month or less,0
2000/2001,Saskatchewan,Sex unknown,Greater than 1 month to 3 months,0
2000/2001,Saskatchewan,Sex unknown,Greater than 3 months to 6 months,0
2000/2001,Saskatchewan,Sex unknown,Greater than 6 months to 12 months,0
2000/2001,Saskatchewan,Sex unknown,Greater than 12 to less than 24 months,0
2000/2001,Saskatchewan,Sex unknown,24 months or more,0
2000/2001,Saskatchewan,Sex unknown,Unknown sentence length ordered,0
2000/2001,Alberta,"Total, custodial admission by sex","Total, sentence length ordered",
2000/2001,Alberta,"Total, custodial admission by sex",Unknown sentence length ordered,
2000/2001,Alberta,Male,"Total, sentence length ordered",
2000/2001,Alberta,Male,Unknown sentence length ordered,
2000/2001,Alberta,Female,"Total, sentence length ordered",
2000/2001,Alberta,Female,Unknown sentence length ordered,
2000/2001,Alberta,Sex unknown,"Total, sentence length ordered",
2000/2001,Alberta,Sex unknown,1 month or less,
2000/2001,Alberta,Sex unknown,Greater than 1 month to 3 months,
2000/2001,Alberta,Sex unknown,Greater than 3 months to 6 months,
2000/2001,Alberta,Sex unknown,Greater than 6 months to 12 months,
2000/2001,Alberta,Sex unknown,Greater than 12 to less than 24 months,
2000/2001,Alberta,Sex unknown,24 months or more,
2000/2001,Alberta,Sex unknown,Unknown sentence length ordered,
2000/2001,British Columbia,"Total, custodial admission by sex","Total, sentence length ordered",9520
2000/2001,British Columbia,"Total, custodial admission by sex",1 month or less,3588
2000/2001,British Columbia,"Total, custodial admission by sex",Greater than 1 month to 3 months,2074
2000/2001,British Columbia,"Total, custodial admission by sex",Greater than 3 months to 6 months,1306
