REF_DATE,GEO,Custodial and community supervision,VALUE
1978/1979,Provinces and Territories,Total actual-in count,13479
1978/1979,Provinces and Territories,"Sentenced, actual-in count",10428
1978/1979,Provinces and Territories,"Remand, actual-in count",3030
1978/1979,Provinces and Territories,"Other statuses, actual-in count",21
1978/1979,Provinces and Territories,On-register count,2983
1978/1979,Provinces and Territories,"Incarceration rates per 100,000 adults",80.44
1978/1979,Provinces and Territories,Total community supervision count,54639
1978/1979,Provinces and Territories,"Probation, community supervision",53937
1978/1979,Provinces and Territories,"Conditional sentence, community supervision",
1978/1979,Provinces and Territories,"Provincial parole, community supervision",702
1978/1979,Provinces and Territories,"Probation rates per 100,000 adults",321.87
1978/1979,Newfoundland and Labrador,Total actual-in count,219
1978/1979,Newfoundland and Labrador,"Sentenced, actual-in count",208
1978/1979,Newfoundland and Labrador,"Remand, actual-in count",11
1978/1979,Newfoundland and Labrador,"Other statuses, actual-in count",
1978/1979,Newfoundland and Labrador,On-register count,239
1978/1979,Newfoundland and Labrador,"Incarceration rates per 100,000 adults",62.99
1978/1979,Newfoundland and Labrador,Total community supervision count,285
1978/1979,Newfoundland and Labrador,"Probation, community supervision",285
1978/1979,Newfoundland and Labrador,"Conditional sentence, community supervision",
1978/1979,Newfoundland and Labrador,"Probation rates per 100,000 adults",81.97
1978/1979,Prince Edward Island,Total actual-in count,55
1978/1979,Prince Edward Island,"Sentenced, actual-in count",38
1978/1979,Prince Edward Island,"Remand, actual-in count",10
1978/1979,Prince Edward Island,"Other statuses, actual-in count",7
1978/1979,Prince Edward Island,On-register count,
1978/1979,Prince Edward Island,"Incarceration rates per 100,000 adults",67.82
1978/1979,Prince Edward Island,Total community supervision count,210
1978/1979,Prince Edward Island,"Probation, community supervision",210
1978/1979,Prince Edward Island,"Conditional sentence, community supervision",
1978/1979,Prince Edward Island,"Probation rates per 100,000 adults",258.97
1978/1979,Nova Scotia,Total actual-in count,374
1978/1979,Nova Scotia,"Sentenced, actual-in count",319
1978/1979,Nova Scotia,"Remand, actual-in count",55
1978/1979,Nova Scotia,"Other statuses, actual-in count",
1978/1979,Nova Scotia,On-register count,
1978/1979,Nova Scotia,"Incarceration rates per 100,000 adults",64.81
1978/1979,Nova Scotia,Total community supervision count,2525
1978/1979,Nova Scotia,"Probation, community supervision",2525
1978/1979,Nova Scotia,"Conditional sentence, community supervision",
1978/1979,Nova Scotia,"Probation rates per 100,000 adults",437.56
1978/1979,New Brunswick,Total actual-in count,308
1978/1979,New Brunswick,"Sentenced, actual-in count",281
1978/1979,New Brunswick,"Remand, actual-in count",24
1978/1979,New Brunswick,"Other statuses, actual-in count",3
1978/1979,New Brunswick,On-register count,344
1978/1979,New Brunswick,"Incarceration rates per 100,000 adults",66.03
1978/1979,New Brunswick,Total community supervision count,1449
1978/1979,New Brunswick,"Probation, community supervision",1449
1978/1979,New Brunswick,"Conditional sentence, community supervision",
1978/1979,New Brunswick,"Probation rates per 100,000 adults",310.65
1978/1979,Quebec,Total actual-in count,2136
1978/1979,Quebec,"Sentenced, actual-in count",1578
1978/1979,Quebec,"Remand, actual-in count",552
1978/1979,Quebec,"Other statuses, actual-in count",6
1978/1979,Quebec,On-register count,2400
