"REF_DATE","GEO","DGUID","Correctional services","Visible minority group","Sex","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019/2020","Nova Scotia","2016A000212","Total correctional services admissions","Total, visible minority group","Total, sex","Number","223","units","0","v1331435234","1.1.1.1","6944","","","","0"
"2019/2020","Nova Scotia","2016A000212","Total correctional services admissions","Total, visible minority group","Males","Number","223","units","0","v1331435235","1.1.1.2","5699","","","","0"
"2019/2020","Nova Scotia","2016A000212","Total correctional services admissions","Total, visible minority group","Females","Number","223","units","0","v1331435236","1.1.1.3","1188","","","","0"
"2019/2020","Nova Scotia","2016A000212","Total correctional services admissions","Total, visible minority group","Sex unknown","Number","223","units","0","v1331435237","1.1.1.4","57","","","","0"
"2019/2020","Nova Scotia","2016A000212","Total correctional services admissions","Black","Total, sex","Number","223","units","0","v1331435238","1.1.2.1","650","","","","0"
"2019/2020","Nova Scotia","2016A000212","Total correctional services admissions","Black","Males","Number","223","units","0","v1331435239","1.1.2.2","561","","","","0"
"2019/2020","Nova Scotia","2016A000212","Total correctional services admissions","Black","Females","Number","223","units","0","v1331435240","1.1.2.3","85","","","","0"
"2019/2020","Nova Scotia","2016A000212","Total correctional services admissions","Black","Sex unknown","Number","223","units","0","v1331435241","1.1.2.4","4","","","","0"
"2019/2020","Nova Scotia","2016A000212","Total correctional services admissions","South Asian","Total, sex","Number","223","units","0","v1331435242","1.1.3.1","","..","","","0"
"2019/2020","Nova Scotia","2016A000212","Total correctional services admissions","South Asian","Males","Number","223","units","0","v1331435243","1.1.3.2","","..","","","0"
"2019/2020","Nova Scotia","2016A000212","Total correctional services admissions","South Asian","Females","Number","223","units","0","v1331435244","1.1.3.3","","..","","","0"
"2019/2020","Nova Scotia","2016A000212","Total correctional services admissions","South Asian","Sex unknown","Number","223","units","0","v1331435245","1.1.3.4","","..","","","0"
"2019/2020","Nova Scotia","2016A000212","Total correctional services admissions","Arab","Total, sex","Number","223","units","0","v1331435266","1.1.9.1","","..","","","0"
"2019/2020","Nova Scotia","2016A000212","Total correctional services admissions","Arab","Males","Number","223","units","0","v1331435267","1.1.9.2","","..","","","0"
"2019/2020","Nova Scotia","2016A000212","Total correctional services admissions","Arab","Females","Number","223","units","0","v1331435268","1.1.9.3","","..","","","0"
"2019/2020","Nova Scotia","2016A000212","Total correctional services admissions","Arab","Sex unknown","Number","223","units","0","v1331435269","1.1.9.4","","..","","","0"
"2019/2020","Nova Scotia","2016A000212","Total correctional services admissions","East or Southeast Asian","Total, sex","Number","223","units","0","v1331435246","1.1.4.1","","..","","","0"
"2019/2020","Nova Scotia","2016A000212","Total correctional services admissions","East or Southeast Asian","Males","Number","223","units","0","v1331435247","1.1.4.2","","..","","","0"
"2019/2020","Nova Scotia","2016A000212","Total correctional services admissions","East or Southeast Asian","Females","Number","223","units","0","v1331435248","1.1.4.3","","..","","","0"
"2019/2020","Nova Scotia","2016A000212","Total correctional services admissions","East or Southeast Asian","Sex unknown","Number","223","units","0","v1331435249","1.1.4.4","","..","","","0"
"2019/2020","Nova Scotia","2016A000212","Total correctional services admissions","Latin American","Total, sex","Number","223","units","0","v1331435250","1.1.5.1","","..","","","0"
"2019/2020","Nova Scotia","2016A000212","Total correctional services admissions","Latin American","Males","Number","223","units","0","v1331435251","1.1.5.2","","..","","","0"
"2019/2020","Nova Scotia","2016A000212","Total correctional services admissions","Latin American","Females","Number","223","units","0","v1331435252","1.1.5.3","","..","","","0"
"2019/2020","Nova Scotia","2016A000212","Total correctional services admissions","Latin American","Sex unknown","Number","223","units","0","v1331435253","1.1.5.4","","..","","","0"
"2019/2020","Nova Scotia","2016A000212","Total correctional services admissions","Other visible minority group","Total, sex","Number","223","units","0","v1331435254","1.1.6.1","165","","","","0"
"2019/2020","Nova Scotia","2016A000212","Total correctional services admissions","Other visible minority group","Males","Number","223","units","0","v1331435255","1.1.6.2","139","","","","0"
"2019/2020","Nova Scotia","2016A000212","Total correctional services admissions","Other visible minority group","Females","Number","223","units","0","v1331435256","1.1.6.3","26","","","","0"
"2019/2020","Nova Scotia","2016A000212","Total correctional services admissions","Other visible minority group","Sex unknown","Number","223","units","0","v1331435257","1.1.6.4","0","","","","0"
"2019/2020","Nova Scotia","2016A000212","Total correctional services admissions","Not a visible minority ","Total, sex","Number","223","units","0","v1331435258","1.1.7.1","5441","","","","0"
"2019/2020","Nova Scotia","2016A000212","Total correctional services admissions","Not a visible minority ","Males","Number","223","units","0","v1331435259","1.1.7.2","4500","","","","0"
"2019/2020","Nova Scotia","2016A000212","Total correctional services admissions","Not a visible minority ","Females","Number","223","units","0","v1331435260","1.1.7.3","921","","","","0"
"2019/2020","Nova Scotia","2016A000212","Total correctional services admissions","Not a visible minority ","Sex unknown","Number","223","units","0","v1331435261","1.1.7.4","20","","","","0"
"2019/2020","Nova Scotia","2016A000212","Total correctional services admissions","Unknown, visible minority group","Total, sex","Number","223","units","0","v1331435262","1.1.8.1","688","","","","0"
"2019/2020","Nova Scotia","2016A000212","Total correctional services admissions","Unknown, visible minority group","Males","Number","223","units","0","v1331435263","1.1.8.2","499","","","","0"
"2019/2020","Nova Scotia","2016A000212","Total correctional services admissions","Unknown, visible minority group","Females","Number","223","units","0","v1331435264","1.1.8.3","156","","","","0"
"2019/2020","Nova Scotia","2016A000212","Total correctional services admissions","Unknown, visible minority group","Sex unknown","Number","223","units","0","v1331435265","1.1.8.4","33","","","","0"
"2019/2020","Nova Scotia","2016A000212","Total custodial admissions","Total, visible minority group","Total, sex","Number","223","units","0","v1331435270","1.2.1.1","4331","","","","0"
"2019/2020","Nova Scotia","2016A000212","Total custodial admissions","Total, visible minority group","Males","Number","223","units","0","v1331435271","1.2.1.2","3656","","","","0"
