REF_DATE,GEO,Custodial and community supervision,VALUE
1997/1998,Provinces and Territories,Total actual-in count,4937.1
1997/1998,Provinces and Territories,"Total sentenced custody, actual-in count",3825.4
1997/1998,Provinces and Territories,"Sentenced secure custody, actual-in count",1775.4
1997/1998,Provinces and Territories,"Sentenced open custody, actual-in count",2050
1997/1998,Provinces and Territories,"Pre-trial detention and other temporary detention, actual-in count",1111.7
1997/1998,Provinces and Territories,"Incarceration rates per 10,000 young persons",20.22
1997/1998,Provinces and Territories,Total community supervision count,40397
1997/1998,Provinces and Territories,"Probation, community supervision",40397
1997/1998,Provinces and Territories,"Community portion of custody sentence, community supervision",
1997/1998,Provinces and Territories,"Deferred custody, community supervision",
1997/1998,Provinces and Territories,"Intensive support and supervision, community supervision",
1997/1998,Provinces and Territories,"Probation rate per 10,000 young persons",165.9
1997/1998,Newfoundland and Labrador,Total actual-in count,124.1
1997/1998,Newfoundland and Labrador,"Total sentenced custody, actual-in count",109
1997/1998,Newfoundland and Labrador,"Sentenced secure custody, actual-in count",53.3
1997/1998,Newfoundland and Labrador,"Sentenced open custody, actual-in count",55.7
1997/1998,Newfoundland and Labrador,"Pre-trial detention and other temporary detention, actual-in count",15.1
1997/1998,Newfoundland and Labrador,"Incarceration rates per 10,000 young persons",23.99
1997/1998,Newfoundland and Labrador,Total community supervision count,1168.6
1997/1998,Newfoundland and Labrador,"Probation, community supervision",1168.6
1997/1998,Newfoundland and Labrador,"Community portion of custody sentence, community supervision",
1997/1998,Newfoundland and Labrador,"Deferred custody, community supervision",
1997/1998,Newfoundland and Labrador,"Intensive support and supervision, community supervision",
1997/1998,Newfoundland and Labrador,"Probation rate per 10,000 young persons",225.97
1997/1998,Prince Edward Island,Total actual-in count,27.9
1997/1998,Prince Edward Island,"Total sentenced custody, actual-in count",25.8
1997/1998,Prince Edward Island,"Sentenced secure custody, actual-in count",13
1997/1998,Prince Edward Island,"Sentenced open custody, actual-in count",12.9
1997/1998,Prince Edward Island,"Pre-trial detention and other temporary detention, actual-in count",2.1
1997/1998,Prince Edward Island,"Incarceration rates per 10,000 young persons",23.04
1997/1998,Prince Edward Island,Total community supervision count,301.8
1997/1998,Prince Edward Island,"Probation, community supervision",301.8
1997/1998,Prince Edward Island,"Community portion of custody sentence, community supervision",
1997/1998,Prince Edward Island,"Deferred custody, community supervision",
1997/1998,Prince Edward Island,"Intensive support and supervision, community supervision",
1997/1998,Prince Edward Island,"Probation rate per 10,000 young persons",248.91
1997/1998,Nova Scotia,Total actual-in count,147
1997/1998,Nova Scotia,"Total sentenced custody, actual-in count",122.7
1997/1998,Nova Scotia,"Sentenced secure custody, actual-in count",27.1
1997/1998,Nova Scotia,"Sentenced open custody, actual-in count",95.7
1997/1998,Nova Scotia,"Pre-trial detention and other temporary detention, actual-in count",24.3
1997/1998,Nova Scotia,"Incarceration rates per 10,000 young persons",19.48
1997/1998,Nova Scotia,Total community supervision count,1423.3
1997/1998,Nova Scotia,"Probation, community supervision",1423.3
1997/1998,Nova Scotia,"Community portion of custody sentence, community supervision",
1997/1998,Nova Scotia,"Deferred custody, community supervision",
1997/1998,Nova Scotia,"Intensive support and supervision, community supervision",
1997/1998,Nova Scotia,"Probation rate per 10,000 young persons",188.6
1997/1998,New Brunswick,Total actual-in count,160.6
1997/1998,New Brunswick,"Total sentenced custody, actual-in count",144.8
1997/1998,New Brunswick,"Sentenced secure custody, actual-in count",65.3
1997/1998,New Brunswick,"Sentenced open custody, actual-in count",79.4
1997/1998,New Brunswick,"Pre-trial detention and other temporary detention, actual-in count",15.8
1997/1998,New Brunswick,"Incarceration rates per 10,000 young persons",25.56
1997/1998,New Brunswick,Total community supervision count,1175.1
1997/1998,New Brunswick,"Probation, community supervision",1175.1
1997/1998,New Brunswick,"Community portion of custody sentence, community supervision",
1997/1998,New Brunswick,"Deferred custody, community supervision",
1997/1998,New Brunswick,"Intensive support and supervision, community supervision",
1997/1998,New Brunswick,"Probation rate per 10,000 young persons",187.05
1997/1998,Quebec,Total actual-in count,553.1
1997/1998,Quebec,"Total sentenced custody, actual-in count",446.1
1997/1998,Quebec,"Sentenced secure custody, actual-in count",232.5
1997/1998,Quebec,"Sentenced open custody, actual-in count",213.6
1997/1998,Quebec,"Pre-trial detention and other temporary detention, actual-in count",107
1997/1998,Quebec,"Incarceration rates per 10,000 young persons",9.63
1997/1998,Quebec,Total community supervision count,4883
1997/1998,Quebec,"Probation, community supervision",4883
1997/1998,Quebec,"Community portion of custody sentence, community supervision",
1997/1998,Quebec,"Deferred custody, community supervision",
1997/1998,Quebec,"Intensive support and supervision, community supervision",
1997/1998,Quebec,"Probation rate per 10,000 young persons",85
1997/1998,Ontario,Total actual-in count,2020.5
1997/1998,Ontario,"Total sentenced custody, actual-in count",1752.8
1997/1998,Ontario,"Sentenced secure custody, actual-in count",804.6
1997/1998,Ontario,"Sentenced open custody, actual-in count",948.2
1997/1998,Ontario,"Pre-trial detention and other temporary detention, actual-in count",267.7
1997/1998,Ontario,"Incarceration rates per 10,000 young persons",
1997/1998,Ontario,Total community supervision count,20035.8
1997/1998,Ontario,"Probation, community supervision",20035.8
1997/1998,Ontario,"Community portion of custody sentence, community supervision",
1997/1998,Ontario,"Deferred custody, community supervision",
1997/1998,Ontario,"Intensive support and supervision, community supervision",
1997/1998,Ontario,"Probation rate per 10,000 young persons",224.43
1997/1998,Manitoba,Total actual-in count,314.8
1997/1998,Manitoba,"Total sentenced custody, actual-in count",213.1
1997/1998,Manitoba,"Sentenced secure custody, actual-in count",96.2
1997/1998,Manitoba,"Sentenced open custody, actual-in count",116.9
1997/1998,Manitoba,"Pre-trial detention and other temporary detention, actual-in count",101.7
1997/1998,Manitoba,"Incarceration rates per 10,000 young persons",32.5
1997/1998,Manitoba,Total community supervision count,1913.1
1997/1998,Manitoba,"Probation, community supervision",1913.1
1997/1998,Manitoba,"Community portion of custody sentence, community supervision",
1997/1998,Manitoba,"Deferred custody, community supervision",
1997/1998,Manitoba,"Probation rate per 10,000 young persons",197.52
1997/1998,Saskatchewan,Total actual-in count,382.6
