REF_DATE,GEO,Initial entry status,VALUE
1998/1999,Provinces and territories,Total correctional services,34547
1998/1999,Provinces and territories,Pre-trial detention,13547
1998/1999,Provinces and territories,Secure custody,1638
1998/1999,Provinces and territories,Custody and supervision (secure),
1998/1999,Provinces and territories,Young Offenders Act (YOA) (secure),
1998/1999,Provinces and territories,Open custody,2019
1998/1999,Provinces and territories,Custody and supervision (open),
1998/1999,Provinces and territories,Young Offenders Act (YOA) (open),
1998/1999,Provinces and territories,Total community sentences,17343
1998/1999,Provinces and territories,Intensive support and supervision,
1998/1999,Provinces and territories,Deferred custody and supervision,
1998/1999,Provinces and territories,Supervised probation,13517
1998/1999,Provinces and territories,Other community sentences,3826
1998/1999,Newfoundland and Labrador,Total correctional services,869
1998/1999,Newfoundland and Labrador,Pre-trial detention,82
1998/1999,Newfoundland and Labrador,Secure custody,39
1998/1999,Newfoundland and Labrador,Custody and supervision (secure),
1998/1999,Newfoundland and Labrador,Young Offenders Act (YOA) (secure),
1998/1999,Newfoundland and Labrador,Open custody,61
1998/1999,Newfoundland and Labrador,Custody and supervision (open),
1998/1999,Newfoundland and Labrador,Young Offenders Act (YOA) (open),
1998/1999,Newfoundland and Labrador,Total community sentences,687
1998/1999,Newfoundland and Labrador,Intensive support and supervision,
1998/1999,Newfoundland and Labrador,Deferred custody and supervision,
1998/1999,Newfoundland and Labrador,Supervised probation,585
1998/1999,Newfoundland and Labrador,Other community sentences,102
1998/1999,Prince Edward Island,Total correctional services,435
1998/1999,Prince Edward Island,Pre-trial detention,19
1998/1999,Prince Edward Island,Secure custody,3
1998/1999,Prince Edward Island,Custody and supervision (secure),
1998/1999,Prince Edward Island,Young Offenders Act (YOA) (secure),
1998/1999,Prince Edward Island,Open custody,5
1998/1999,Prince Edward Island,Custody and supervision (open),
1998/1999,Prince Edward Island,Young Offenders Act (YOA) (open),
1998/1999,Prince Edward Island,Total community sentences,408
1998/1999,Prince Edward Island,Intensive support and supervision,
1998/1999,Prince Edward Island,Deferred custody and supervision,
1998/1999,Prince Edward Island,Supervised probation,54
1998/1999,Prince Edward Island,Other community sentences,354
1998/1999,Nova Scotia,Total correctional services,2446
1998/1999,Nova Scotia,Pre-trial detention,550
1998/1999,Nova Scotia,Secure custody,32
1998/1999,Nova Scotia,Custody and supervision (secure),
1998/1999,Nova Scotia,Young Offenders Act (YOA) (secure),
1998/1999,Nova Scotia,Open custody,185
1998/1999,Nova Scotia,Custody and supervision (open),
1998/1999,Nova Scotia,Young Offenders Act (YOA) (open),
1998/1999,Nova Scotia,Total community sentences,1679
1998/1999,Nova Scotia,Intensive support and supervision,
1998/1999,Nova Scotia,Deferred custody and supervision,
1998/1999,Nova Scotia,Supervised probation,1679
1998/1999,Nova Scotia,Other community sentences,0
1998/1999,New Brunswick,Total correctional services,
1998/1999,New Brunswick,Pre-trial detention,
1998/1999,New Brunswick,Secure custody,
1998/1999,New Brunswick,Custody and supervision (secure),
1998/1999,New Brunswick,Young Offenders Act (YOA) (secure),
1998/1999,New Brunswick,Open custody,
1998/1999,New Brunswick,Custody and supervision (open),
1998/1999,New Brunswick,Young Offenders Act (YOA) (open),
1998/1999,New Brunswick,Total community sentences,
1998/1999,New Brunswick,Intensive support and supervision,
1998/1999,New Brunswick,Deferred custody and supervision,
1998/1999,New Brunswick,Supervised probation,
1998/1999,New Brunswick,Other community sentences,
1998/1999,Quebec,Total correctional services,
1998/1999,Quebec,Pre-trial detention,
1998/1999,Quebec,Secure custody,
1998/1999,Quebec,Custody and supervision (secure),
1998/1999,Quebec,Young Offenders Act (YOA) (secure),
1998/1999,Quebec,Open custody,
1998/1999,Quebec,Custody and supervision (open),
1998/1999,Quebec,Young Offenders Act (YOA) (open),
1998/1999,Quebec,Total community sentences,
1998/1999,Quebec,Intensive support and supervision,
1998/1999,Quebec,Deferred custody and supervision,
1998/1999,Quebec,Supervised probation,
1998/1999,Quebec,Other community sentences,
1998/1999,Ontario,Total correctional services,6870
1998/1999,Ontario,Pre-trial detention,2858
1998/1999,Ontario,Secure custody,294
1998/1999,Ontario,Custody and supervision (secure),
1998/1999,Ontario,Young Offenders Act (YOA) (secure),
1998/1999,Ontario,Open custody,196
1998/1999,Ontario,Custody and supervision (open),
1998/1999,Ontario,Young Offenders Act (YOA) (open),
1998/1999,Ontario,Total community sentences,3522
1998/1999,Ontario,Intensive support and supervision,
1998/1999,Ontario,Deferred custody and supervision,
1998/1999,Ontario,Supervised probation,3522
1998/1999,Ontario,Other community sentences,0
1998/1999,"Ontario, Ministry of Children and Youth Services (MCYS)",Total correctional services,
1998/1999,"Ontario, Ministry of Children and Youth Services (MCYS)",Pre-trial detention,
1998/1999,"Ontario, Ministry of Children and Youth Services (MCYS)",Secure custody,
1998/1999,"Ontario, Ministry of Children and Youth Services (MCYS)",Custody and supervision (secure),
1998/1999,"Ontario, Ministry of Children and Youth Services (MCYS)",Young Offenders Act (YOA) (secure),
1998/1999,"Ontario, Ministry of Children and Youth Services (MCYS)",Open custody,
1998/1999,"Ontario, Ministry of Children and Youth Services (MCYS)",Custody and supervision (open),
1998/1999,"Ontario, Ministry of Children and Youth Services (MCYS)",Young Offenders Act (YOA) (open),
1998/1999,"Ontario, Ministry of Children and Youth Services (MCYS)",Total community sentences,
1998/1999,"Ontario, Ministry of Children and Youth Services (MCYS)",Intensive support and supervision,
1998/1999,"Ontario, Ministry of Children and Youth Services (MCYS)",Deferred custody and supervision,
1998/1999,"Ontario, Ministry of Children and Youth Services (MCYS)",Supervised probation,
1998/1999,"Ontario, Ministry of Children and Youth Services (MCYS)",Other community sentences,
1998/1999,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Total correctional services,6870
1998/1999,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Pre-trial detention,2858
1998/1999,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Secure custody,294
1998/1999,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Custody and supervision (secure),
1998/1999,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Young Offenders Act (YOA) (secure),
1998/1999,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Open custody,196
1998/1999,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Custody and supervision (open),
1998/1999,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Young Offenders Act (YOA) (open),
1998/1999,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Total community sentences,3522
1998/1999,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Intensive support and supervision,
1998/1999,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Deferred custody and supervision,
1998/1999,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Supervised probation,3522
1998/1999,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Other community sentences,
1998/1999,Manitoba,Total correctional services,1644
1998/1999,Manitoba,Pre-trial detention,1468
1998/1999,Manitoba,Secure custody,63
1998/1999,Manitoba,Custody and supervision (secure),
1998/1999,Manitoba,Young Offenders Act (YOA) (secure),
1998/1999,Manitoba,Open custody,113
1998/1999,Manitoba,Custody and supervision (open),
1998/1999,Manitoba,Young Offenders Act (YOA) (open),
1998/1999,Manitoba,Total community sentences,
1998/1999,Manitoba,Intensive support and supervision,
1998/1999,Manitoba,Deferred custody and supervision,
1998/1999,Manitoba,Supervised probation,
1998/1999,Manitoba,Other community sentences,
1998/1999,Saskatchewan,Total correctional services,8551
1998/1999,Saskatchewan,Pre-trial detention,4873
1998/1999,Saskatchewan,Secure custody,332
1998/1999,Saskatchewan,Custody and supervision (secure),
1998/1999,Saskatchewan,Young Offenders Act (YOA) (secure),
1998/1999,Saskatchewan,Open custody,449
1998/1999,Saskatchewan,Custody and supervision (open),
1998/1999,Saskatchewan,Young Offenders Act (YOA) (open),
