REF_DATE,GEO,Admissions and releases,Correctional services,VALUE
1997/1998,Provinces and territories,Youth admissions,Total correctional services,70542
1997/1998,Provinces and territories,Youth admissions,Pre-trial detention,16010
1997/1998,Provinces and territories,Youth admissions,Provincial director remand,
1997/1998,Provinces and territories,Youth admissions,Secure custody,8019
1997/1998,Provinces and territories,Youth admissions,Custody and supervision (secure),
1997/1998,Provinces and territories,Youth admissions,Young Offenders Act (YOA) (secure),
1997/1998,Provinces and territories,Youth admissions,Open custody,8486
1997/1998,Provinces and territories,Youth admissions,Custody and supervision (open),
1997/1998,Provinces and territories,Youth admissions,Young Offenders Act (YOA) (open),
1997/1998,Provinces and territories,Youth admissions,Total community sentences,38027
1997/1998,Provinces and territories,Youth admissions,Community Portion of Custody Supervision,
1997/1998,Provinces and territories,Youth admissions,Intensive support and supervision,
1997/1998,Provinces and territories,Youth admissions,Deferred custody and supervision,
1997/1998,Provinces and territories,Youth admissions,Supervised probation,38027
1997/1998,Provinces and territories,Youth admissions,Other community sentences,
1997/1998,Provinces and territories,Youth releases,Total correctional services,27105
1997/1998,Provinces and territories,Youth releases,Pre-trial detention,13743
1997/1998,Provinces and territories,Youth releases,Provincial director remand,
1997/1998,Provinces and territories,Youth releases,Secure custody,6241
1997/1998,Provinces and territories,Youth releases,Custody and supervision (secure),
1997/1998,Provinces and territories,Youth releases,Young Offenders Act (YOA) (secure),
1997/1998,Provinces and territories,Youth releases,Open custody,7121
1997/1998,Provinces and territories,Youth releases,Custody and supervision (open),
1997/1998,Provinces and territories,Youth releases,Young Offenders Act (YOA) (open),
1997/1998,Provinces and territories,Youth releases,Total community sentences,
1997/1998,Provinces and territories,Youth releases,Community Portion of Custody Supervision,
1997/1998,Provinces and territories,Youth releases,Intensive support and supervision,
1997/1998,Provinces and territories,Youth releases,Deferred custody and supervision,
1997/1998,Provinces and territories,Youth releases,Supervised probation,
1997/1998,Provinces and territories,Youth releases,Other community sentences,
1997/1998,Newfoundland and Labrador,Youth admissions,Total correctional services,1517
1997/1998,Newfoundland and Labrador,Youth admissions,Pre-trial detention,197
1997/1998,Newfoundland and Labrador,Youth admissions,Provincial director remand,
1997/1998,Newfoundland and Labrador,Youth admissions,Secure custody,229
1997/1998,Newfoundland and Labrador,Youth admissions,Custody and supervision (secure),
1997/1998,Newfoundland and Labrador,Youth admissions,Young Offenders Act (YOA) (secure),
1997/1998,Newfoundland and Labrador,Youth admissions,Open custody,205
1997/1998,Newfoundland and Labrador,Youth admissions,Custody and supervision (open),
1997/1998,Newfoundland and Labrador,Youth admissions,Young Offenders Act (YOA) (open),
1997/1998,Newfoundland and Labrador,Youth admissions,Total community sentences,886
1997/1998,Newfoundland and Labrador,Youth admissions,Community Portion of Custody Supervision,
1997/1998,Newfoundland and Labrador,Youth admissions,Intensive support and supervision,
1997/1998,Newfoundland and Labrador,Youth admissions,Deferred custody and supervision,
1997/1998,Newfoundland and Labrador,Youth admissions,Supervised probation,886
1997/1998,Newfoundland and Labrador,Youth admissions,Other community sentences,
1997/1998,Newfoundland and Labrador,Youth releases,Total correctional services,674
1997/1998,Newfoundland and Labrador,Youth releases,Pre-trial detention,200
1997/1998,Newfoundland and Labrador,Youth releases,Provincial director remand,
1997/1998,Newfoundland and Labrador,Youth releases,Secure custody,244
1997/1998,Newfoundland and Labrador,Youth releases,Custody and supervision (secure),
1997/1998,Newfoundland and Labrador,Youth releases,Young Offenders Act (YOA) (secure),
1997/1998,Newfoundland and Labrador,Youth releases,Open custody,230
1997/1998,Newfoundland and Labrador,Youth releases,Custody and supervision (open),
1997/1998,Newfoundland and Labrador,Youth releases,Young Offenders Act (YOA) (open),
1997/1998,Newfoundland and Labrador,Youth releases,Total community sentences,
1997/1998,Newfoundland and Labrador,Youth releases,Community Portion of Custody Supervision,
1997/1998,Newfoundland and Labrador,Youth releases,Intensive support and supervision,
1997/1998,Newfoundland and Labrador,Youth releases,Deferred custody and supervision,
1997/1998,Newfoundland and Labrador,Youth releases,Supervised probation,
1997/1998,Newfoundland and Labrador,Youth releases,Other community sentences,
1997/1998,Prince Edward Island,Youth admissions,Total correctional services,236
1997/1998,Prince Edward Island,Youth admissions,Pre-trial detention,36
1997/1998,Prince Edward Island,Youth admissions,Provincial director remand,
1997/1998,Prince Edward Island,Youth admissions,Secure custody,47
1997/1998,Prince Edward Island,Youth admissions,Custody and supervision (secure),
1997/1998,Prince Edward Island,Youth admissions,Young Offenders Act (YOA) (secure),
1997/1998,Prince Edward Island,Youth admissions,Open custody,50
1997/1998,Prince Edward Island,Youth admissions,Custody and supervision (open),
1997/1998,Prince Edward Island,Youth admissions,Young Offenders Act (YOA) (open),
1997/1998,Prince Edward Island,Youth admissions,Total community sentences,103
1997/1998,Prince Edward Island,Youth admissions,Community Portion of Custody Supervision,
1997/1998,Prince Edward Island,Youth admissions,Intensive support and supervision,
1997/1998,Prince Edward Island,Youth admissions,Deferred custody and supervision,
1997/1998,Prince Edward Island,Youth admissions,Supervised probation,103
1997/1998,Prince Edward Island,Youth admissions,Other community sentences,
1997/1998,Prince Edward Island,Youth releases,Total correctional services,133
1997/1998,Prince Edward Island,Youth releases,Pre-trial detention,34
1997/1998,Prince Edward Island,Youth releases,Provincial director remand,
1997/1998,Prince Edward Island,Youth releases,Secure custody,44
1997/1998,Prince Edward Island,Youth releases,Custody and supervision (secure),
1997/1998,Prince Edward Island,Youth releases,Young Offenders Act (YOA) (secure),
1997/1998,Prince Edward Island,Youth releases,Open custody,55
1997/1998,Prince Edward Island,Youth releases,Custody and supervision (open),
1997/1998,Prince Edward Island,Youth releases,Young Offenders Act (YOA) (open),
1997/1998,Prince Edward Island,Youth releases,Total community sentences,
1997/1998,Prince Edward Island,Youth releases,Community Portion of Custody Supervision,
1997/1998,Prince Edward Island,Youth releases,Intensive support and supervision,
1997/1998,Prince Edward Island,Youth releases,Deferred custody and supervision,
